rung,axis,direction,class,k,n,p,lo,hi
L2,dyn_stable,reverse,rung rejects,433,1109,0.3904418394950406,0.36215482627387735,0.41948522849410985
L2,made,marginal,class true | determinate,7284,16527,0.44073334543474313,0.43317881077129433,0.44831542502547467
L2,made,forward,class true,6753,7284,0.9271004942339374,0.9209024976444077,0.9328482370768212
L2,made,forward,class false,8665,9243,0.9374661906307475,0.932346112660069,0.9422227913288379
L2,made,reverse,rung accepts,6753,15418,0.4379945518225451,0.43017957005797475,0.4458404237212758
L2,made,reverse,rung rejects,531,1109,0.478809738503156,0.4495325940490241,0.5082331778608334
L3,-,marginal,rung accepts | determinate,14611,16068,0.9093228777694797,0.9047845754006537,0.9136655090967082
L3,-,marginal,determinate | all,16068,26600,0.6040601503759399,0.5981684447263886,0.6099218045170904
L3,on_hull,marginal,class true | determinate,5490,16068,0.34167289021657954,0.33437831573041976,0.34904315074954245
L3,on_hull,forward,class true,5009,5490,0.9123861566484517,0.9046159620780969,0.9195796456655562
L3,on_hull,forward,class false,9602,10578,0.9077330308186803,0.9020689909539495,0.9131010372087418
L3,on_hull,reverse,rung accepts,5009,14611,0.3428238998015194,0.3351697682860328,0.35056065766888417
L3,on_hull,reverse,rung rejects,481,1457,0.33013040494166096,0.306458117461386,0.35469607760123023
L3,hull_50meV,marginal,class true | determinate,10468,16068,0.6514812048792631,0.6440781017254646,0.6588118945747601
L3,hull_50meV,forward,class true,9659,10468,0.922716851356515,0.9174448151217289,0.9276787512349239
L3,hull_50meV,forward,class false,4952,5600,0.8842857142857142,0.8756429470838908,0.892401622275814
L3,hull_50meV,reverse,rung accepts,9659,14611,0.661077270549586,0.6533607144147603,0.668709149515178
L3,hull_50meV,reverse,rung rejects,809,1457,0.5552505147563487,0.5296219179659715,0.5805885357611371
L3,dyn_stable,marginal,class true | determinate,7863,16068,0.48935772964899177,0.4816319212057402,0.49708862547982324
L3,dyn_stable,forward,class true,7243,7863,0.9211496884140913,0.9149850353824218,0.9269030380798904
L3,dyn_stable,forward,class false,7368,8205,0.8979890310786106,0.8912527790002895,0.9043527924755984
L3,dyn_stable,reverse,rung accepts,7243,14611,0.49572240093080555,0.4876175523093694,0.5038294982554824
L3,dyn_stable,reverse,rung rejects,620,1457,0.425531914893617,0.40037303495833343,0.4510824404529548
L3,made,marginal,class true | determinate,7052,16068,0.43888473985561366,0.43122719302375745,0.44657150197754875
L3,made,forward,class true,6372,7052,0.9035734543391946,0.8964628554503092,0.9102446128537411
L3,made,forward,class false,8239,9016,0.9138198757763976,0.9078495672525025,0.9194377009403051
L3,made,reverse,rung accepts,6372,14611,0.4361097803025118,0.4280867378313948,0.44416640940523267
L3,made,reverse,rung rejects,680,1457,0.4667124227865477,0.44121677779300983,0.49238313517885623
L4,-,marginal,rung accepts | determinate,11381,15310,0.743370346178968,0.736391322401156,0.75022727163605
L4,-,marginal,determinate | all,15310,26600,0.575563909774436,0.5696137764702588,0.5814922209933946
L4,on_hull,marginal,class true | determinate,5133,15310,0.33527106466361856,0.32783529034233855,0.3427894830978566
L4,on_hull,forward,class true,4041,5133,0.7872589129164231,0.7758506301088849,0.7982375568909579
L4,on_hull,forward,class false,7340,10177,0.7212341554485605,0.7124403586254371,0.7298609990976611
L4,on_hull,reverse,rung accepts,4041,11381,0.3550654599771549,0.3463240706267717,0.36390465658628796
L4,on_hull,reverse,rung rejects,1092,3929,0.2779333163654874,0.2641477115299037,0.2921527347832164
L4,hull_50meV,marginal,class true | determinate,9938,15310,0.6491182233834095,0.6415220035283508,0.6566396309823689
L4,hull_50meV,forward,class true,7930,9938,0.7979472730931777,0.7899384536698534,0.8057258429827379
L4,hull_50meV,forward,class false,3451,5372,0.6424050632911392,0.6294906608947689,0.6551159465954076
L4,hull_50meV,reverse,rung accepts,7930,11381,0.6967753272998858,0.688265350599957,0.7051525126351768
L4,hull_50meV,reverse,rung rejects,2008,3929,0.5110715194706033,0.49543791923016944,0.5266834911828728
L4,dyn_stable,marginal,class true | determinate,7314,15310,0.477726975832789,0.46982131850725956,0.48564380748128394
L4,dyn_stable,forward,class true,5347,7314,0.7310637134263057,0.7207825078450557,0.7411023278705166
L4,dyn_stable,forward,class false,6034,7996,0.7546273136568284,0.7450747921423023,0.7639352952401393
L4,dyn_stable,reverse,rung accepts,5347,11381,0.4698181179158246,0.4606605639814568,0.47899603971523075
L4,dyn_stable,reverse,rung rejects,1967,3929,0.5006362942224485,0.4850090716758977,0.5162622737501392
L4,made,marginal,class true | determinate,6552,15310,0.4279555845852384,0.4201371702156029,0.43581014346581487
L4,made,forward,class true,5071,6552,0.773962148962149,0.7636755954690347,0.7839276409041939
L4,made,forward,class false,6310,8758,0.7204841287965289,0.7109904705921964,0.7297844530526567
L4,made,reverse,rung accepts,5071,11381,0.4455671733591073,0.436455629145025,0.45471545088437215
L4,made,reverse,rung rejects,1481,3929,0.3769406973784678,0.36191448570482276,0.39220730889963984
