guard,hi,sat,excl,S4
0.5,1.05,0.987017099430019,0.38847497089639116,0.5126506024096386
0.5,1.08,0.988837872070931,0.3863795110593714,0.5042168674698795
0.5,1.1,0.9893128562381254,0.3839348079161816,0.4927710843373494
0.5,1.12,0.9894711842938568,0.3811408614668219,0.47891566265060237
0.5,1.15,0.9895503483217226,0.3753201396973225,0.4487951807228916
0.5,1.2,0.9897878404053199,0.35622817229336434,0.35060240963855427
0.5,1.3,0.990025332488917,0.30919674039580913,0.10843373493975905
0.55,1.05,0.9882837238758708,0.3759022118742724,0.4493975903614458
0.55,1.08,0.9892336922102597,0.3742724097788126,0.44216867469879517
0.55,1.1,0.9896295123495883,0.37206053550640283,0.43192771084337345
0.55,1.12,0.9897086763774541,0.36996507566938297,0.42168674698795183
0.55,1.15,0.9897086763774541,0.36449359720605357,0.3933734939759036
0.55,1.2,0.9897878404053199,0.34831199068684515,0.3096385542168675
0.55,1.3,0.990025332488917,0.30698486612339926,0.09698795180722897
0.6,1.05,0.9889170360987967,0.35762514551804425,0.35542168674698793
0.6,1.08,0.9894711842938568,0.3566938300349243,0.35180722891566263
0.6,1.1,0.9898670044331855,0.35506402793946445,0.344578313253012
0.6,1.12,0.9898670044331855,0.3532013969732247,0.33554216867469877
0.6,1.15,0.9898670044331855,0.3486612339930152,0.3120481927710843
0.6,1.2,0.9898670044331855,0.33597206053550643,0.2463855421686747
0.6,1.3,0.990025332488917,0.30291036088474976,0.07590361445783134
