held,hi,excl_seen,excl_held,base,gain
S1,1.05,0.4434639545318576,0.19537815126050417,0.19485294117647056,0.0005252100840336116
S2,1.05,0.3990775908844275,0.3243021346469622,0.3234811165845649,0.0008210180623973162
S3,1.05,0.24846671652954377,0.8797900262467192,0.8792650918635171,0.0005249343832021136
S4,1.05,0.3587301587301587,0.5126506024096386,0.002409638554216831,0.5102409638554217
S5,1.05,0.4925975773889637,0.022595901208617986,0.018917498686284784,0.0036784025223332018
