lo,hi,sat,excl
0.6,1.0,0.8852121595946801,0.39476135040745053
0.6,1.05,0.9415769474350855,0.380675203725262
0.6,1.1,0.9485433818872704,0.36961583236321305
0.6,1.15,0.9504433185560481,0.34819557625145514
0.6,1.2,0.9517891070297657,0.3116414435389988
0.6,1.25,0.9523432552248259,0.2689173457508731
0.6,1.3,0.952580747308423,0.22968568102444709
0.6,1.35,0.9526599113362888,0.2046565774155995
0.6,1.4,0.9526599113362888,0.19371362048894059
0.6,1.45,0.9528182393920203,0.19091967403958088
0.6,1.5,0.9528182393920203,0.18940628637951107
0.6,1.55,0.9529765674477517,0.1883585564610012
0.6,1.6,0.9535307156428119,0.1870779976717113
0.6,1.65,0.954401519949335,0.1846332945285215
0.6,1.7,0.9559848005066498,0.18346915017462162
0.6,1.75,0.9571722609246358,0.18207217694994182
0.6,1.8,0.9585180493983534,0.18090803259604193
0.6,1.85,0.9605763141228626,0.17962747380675204
0.6,1.9,0.9634262191260291,0.17857974388824216
0.6,1.95,0.9678594046865104,0.17706635622817224
0.6,2.0,0.9708676377454085,0.17601862630966236
0.6,2.05,0.9742716909436352,0.17485448195576248
0.6,2.1,0.977042431918936,0.1739231664726426
0.6,2.15,0.9802881570614312,0.17287543655413273
0.6,2.2,0.9832963901203293,0.17182770663562286
0.6,2.25,0.9851963267891071,0.1711292200232829
0.6,2.3,0.9874129195693477,0.17077997671711287
0.6,2.35,0.9889962001266625,0.17043073341094295
0.6,2.4,0.9905003166561115,0.169848661233993
0.6,2.45,0.9912127929069031,0.16915017462165305
0.6,2.5,0.9920835972134262,0.16915017462165305
0.6,2.55,0.9924794173527549,0.16880093131548313
0.6,2.6,0.9927960734642178,0.1683352735739232
0.6,2.65,0.9930335655478151,0.16821885913853318
0.6,2.7,0.9932710576314123,0.16763678696158324
0.6,2.75,0.9935877137428752,0.16740395809080322
0.6,2.8,0.9942210259658011,0.16693830034924328
0.6,2.85,0.9946960101329956,0.16658905704307336
0.6,2.9,0.99517099430019,0.16600698486612342
0.6,2.95,0.9953293223559214,0.1657741559953434
0.6,3.0,0.9954084863837872,0.1656577415599534
0.6,3.05,0.9955668144395187,0.16542491268917348
0.6,3.1,0.9956459784673845,0.16484284051222353
0.6,3.15,0.9956459784673845,0.1646100116414435
0.6,3.2,0.9957251424952501,0.1646100116414435
0.6,3.25,0.9958043065231159,0.1644935972060535
0.6,3.3,0.9958043065231159,0.1644935972060535
0.6,3.35,0.9959626345788474,0.16414435389988358
0.6,3.4,0.9959626345788474,0.16414435389988358
0.6,3.45,0.9959626345788474,0.16414435389988358
0.6,3.5,0.9961209626345788,0.16414435389988358
0.6,3.55,0.9962001266624446,0.16414435389988358
0.61,1.0,0.8850538315389487,0.39976717112922
0.61,1.05,0.941418619379354,0.38568102444703145
0.61,1.1,0.9483850538315389,0.3746216530849825
0.61,1.15,0.9502849905003167,0.3532013969732247
0.61,1.2,0.9516307789740343,0.3166472642607684
0.61,1.25,0.9521849271690943,0.2739231664726426
0.61,1.3,0.9524224192526916,0.23469150174621656
0.61,1.35,0.9525015832805573,0.2096623981373691
0.61,1.4,0.9525015832805573,0.19871944121071017
0.61,1.45,0.9526599113362888,0.19592549476135046
0.61,1.5,0.9526599113362888,0.19441210710128054
0.61,1.55,0.9528182393920203,0.19336437718277066
0.61,1.6,0.9533723875870804,0.19208381839348077
0.61,1.65,0.9542431918936035,0.1896391152502911
0.61,1.7,0.9558264724509183,0.1884749708963912
0.61,1.75,0.9570139328689043,0.1870779976717113
0.61,1.8,0.9583597213426219,0.1859138533178114
0.61,1.85,0.9604179860671311,0.1846332945285215
0.61,1.9,0.9632678910702976,0.18358556461001163
0.61,1.95,0.967701076630779,0.18207217694994182
0.61,2.0,0.9707093096896771,0.18102444703143195
0.61,2.05,0.9741133628879037,0.17986030267753206
0.61,2.1,0.9768841038632046,0.17892898719441208
0.61,2.15,0.9801298290056998,0.1778812572759022
0.61,2.2,0.9831380620645979,0.17683352735739233
0.61,2.25,0.9850379987333756,0.17613504074505237
0.61,2.3,0.9872545915136162,0.17578579743888245
0.61,2.35,0.988837872070931,0.17543655413271242
