database,n_groups,n_structures,n_pairs,largest_group,frac_top1,frac_top5,median_span_meV
MP experimental,1234,4587,28384,O2|Si1,0.5931510710259301,0.6869715332581736,24.777148156250206
Alexandria,2688,14645,85281,Cr1|N2,0.028318148239349913,0.09115746766571686,185.6769549603179
ELEMENTA,2896,14204,27938,Ag1|As1|P2,0.00035793542844870786,0.0017896771422435394,99.1025989583334
LeMat,20768,108564,237856,Cr1|Mg1|N2,6.306336607022737e-05,0.0003153168303511368,448.87223904761896
MP synthesis target,1508,6758,18920,SiO2,0.4358350951374207,0.5932346723044397,
