rule,coverage,accuracy,acc_energy_wrong,n_groups,top1,random_baseline,lift,tie_rate,n_groups_top1
L1,0.01332502949659267,0.9487179487179487,0.5,39,0.4750707679322098,0.4703782264937133,0.004692541438496511,0.9940318302387268,1508
L1',0.015203897754771272,0.9069767441860465,0.25,43,0.4753862570408023,0.4703782264937133,0.005008030547088982,0.993368700265252,1508
L2,0.05938572673635074,0.8216152999047736,0.25881441301821,156,0.48475795908610825,0.4703782264937133,0.014379732592394945,0.9734748010610079,1508
L3,0.08915584181348143,0.7822458671932356,0.2779026217228464,225,0.48962024070947796,0.4703782264937133,0.019242014215764658,0.9595490716180372,1508
L4,0.28193183753943424,0.7738176566224189,0.565783312670082,641,0.5400420772028139,0.4703782264937133,0.06966385070910064,0.8507957559681698,1508
