model,family,n,md05,md07,assignable,pass_L4,no_verdict_L4,reject_L4,reject_D7,reject_D8
CrystalFormer,sym,500,0.932,0.908,0.326,0.34355828220858897,0.147239263803681,0.50920245398773,0.10429447852760736,0.2331288343558282
DiffCSP,free,500,1.0,1.0,0.236,0.0,0.0,1.0,1.0,0.05084745762711865
DiffCSP++,sym,500,0.998,0.998,0.294,0.42857142857142855,0.2653061224489796,0.30612244897959184,0.1292517006802721,0.05442176870748299
MP20-test,real,500,1.0,1.0,0.426,0.6431924882629108,0.13145539906103287,0.22535211267605634,0.14084507042253522,0.014084507042253521
MatterGen,free,500,1.0,1.0,0.324,0.024691358024691357,0.018518518518518517,0.9567901234567902,0.9506172839506173,0.030864197530864196
MiAD,free,500,0.992,0.992,0.336,0.0,0.0,1.0,1.0,0.011904761904761904
SymmCD,sym,500,1.0,0.986,0.328,0.29878048780487804,0.20121951219512196,0.5,0.13414634146341464,0.18902439024390244
WyFormer-DiffCSP++,sym,500,0.998,0.998,0.308,0.461038961038961,0.22077922077922077,0.3181818181818182,0.11688311688311688,0.11038961038961038
