held,tree_seen,tree_held,thr_seen,thr_held,tree_drop,thr_drop
S1,0.7553,0.2222,0.3133,0.1733,0.5330999999999999,0.14
S2,0.7048,0.1445,0.2782,0.3071,0.5603,-0.02889999999999998
S3,0.531,0.6971,0.1134,0.8751,-0.16610000000000003,-0.7617
S4,0.6903,0.0235,0.3472,0.0114,0.6668000000000001,0.3358
S5,0.6747,0.0715,0.3574,0.0184,0.6032,0.33899999999999997
