experiment,kind,l1_group,e_released_per_atom,max_disp,natoms
exp1,parent,,0.0038397047254774,0.1180061646097234,36
exp1,S1,,0.3388710021972656,0.6447277782322287,36
exp1,S3,,1.7875734965006511,1.439839910516408,36
exp1,S4,,1.102704366048177,2.625836469050979,36
exp1,parent,,0.0012470592151988,0.0525122866287242,11
exp1,S1,,1.2206011685458096,1.9260259445194967,11
exp1,S3,,9.975332086736506,2.025441307522805,11
exp1,S4,,0.5488468516956676,2.092916715140725,11
exp1,parent,,0.0003204345703125,0.0134745155690482,32
exp1,S1,,0.2603058815002441,1.6688604605193762,32
exp1,S3,,10.553802490234377,2.3943102871720066,32
exp1,S4,,2.4007458686828613,4.948117986733124,32
exp1,parent,,0.001402113172743,0.0300016879556457,36
exp1,S1,,0.0981335110134548,0.1453331310072995,36
exp1,S3,,17.29787360297309,1.93769777519052,36
exp1,S4,,1.256659189860026,3.532279289839229,36
exp1,parent,,0.0014844621930803,0.029057742655048,28
exp1,S1,,0.0633860996791294,0.2718072606411382,28
exp1,S3,,5.452614375523159,2.109384066306796,28
exp1,S4,,3.042476109095982,4.130310788095064,28
exp1,parent,,0.0021294487847222,0.1218079732946818,18
exp1,S1,,0.0295507642957899,0.1873733303682979,18
exp1,S3,,10.314039018419054,1.510550413641588,18
exp1,S4,,0.2843271891276042,1.2320300907392612,18
exp1,parent,,0.0010690689086914,0.0226942870591435,16
exp1,S1,,0.5791621208190918,0.6627292322796289,16
exp1,S3,,5.349613159894943,1.5438481452571395,16
exp1,S4,,0.9397945404052734,3.732628320209115,16
exp1,parent,,0.000570085313585,0.0290774302533318,36
exp1,S1,,0.1006991068522135,0.3851434579647049,36
exp1,S3,,22.78454335530599,0.6042172329376353,36
exp1,S4,,1.63658693101671,4.102206582574139,36
exp1,parent,,2.9087066650390625e-05,0.0017729009344412,32
exp1,S1,,0.168375015258789,0.4081504950879756,32
exp1,S3,,2.349217653274536,1.2356215949401677,32
exp1,S4,,0.5007224082946777,2.4194199194251524,32
exp1,parent,,0.0003875732421875,0.0144829209982812,10
exp1,S1,,0.2715805053710937,0.4167050484570915,10
exp1,S3,,9.776276969909668,1.713870106545386,10
exp1,S4,,0.5651649475097656,0.8146134597358992,10
exp1,S5,,0.0624114990234375,0.2315397661684359,10
exp1,parent,,0.0004158020019531,0.0134805559634475,32
exp1,S1,,0.7216935157775879,0.8827313150116713,32
exp1,S3,,6.637759447097778,1.8301391368785425,32
exp1,S4,,2.205538749694824,1.6107971534760197,32
exp1,parent,,0.000608656141493,0.0188549619254453,9
exp1,S1,,0.0775909423828125,0.2305587203715695,9
exp1,S3,,24.03166325887044,2.2646561594967807,9
exp1,S4,,1.1369279225667317,2.750218621580257,9
exp1,parent,,0.0043971538543701,0.3569443352437977,32
exp1,S1,,0.918790340423584,1.9206567071957867,32
exp1,S3,,2.6762926876544952,2.300855619714448,32
exp1,S4,,1.082212209701538,2.69962954864265,32
exp1,parent,,0.0004226684570312,0.019871746866114,10
exp1,S1,,0.0107551574707031,0.0446942478692381,10
exp1,S3,,8.638027381896972,1.464479878991387,10
exp1,S4,,0.5206596374511718,1.840881673527251,10
exp1,parent,,0.0006256103515625,0.0299607762106743,13
exp1,S1,,0.3212911165677584,1.289816734293692,13
exp1,S3,,2.096134185791016,1.201515651605095,13
exp1,S4,,0.7100172776442307,1.6234524761098512,13
exp1,parent,,0.0022244453430175,0.1155991393744782,8
exp1,S1,,0.0711951255798339,0.2036442588837297,8
exp1,S3,,1.974185943603516,0.9076612619329976,8
exp1,S4,,2.300370216369629,3.7551222688089294,8
exp1,parent,,0.0018620491027832,0.1095488427022553,16
exp1,S1,,0.4578461647033691,0.5199024898895216,16
exp1,S3,,19.00626039505005,0.4960214136089519,16
exp1,S4,,2.299583673477173,4.929785540748168,16
exp1,parent,,0.0012149810791015,0.0587544400570855,24
exp1,S1,,0.2591753005981445,0.3684136316048856,24
exp1,S3,,3.4167197545369468,1.2888068804267718,24
exp1,S4,,0.6046784718831381,3.086575616084961,24
exp1,parent,,0.0013987223307291,0.0520927631681512,36
exp1,S1,,0.3873346116807725,0.952259237260858,36
exp1,S3,,2.781963348388672,1.3737445931462515,36
exp1,S4,,0.7999996609157987,1.7213572712000755,36
exp1,parent,,9.972708565848214e-05,0.0056631365931854,28
exp1,S1,,0.1477173396519252,0.2449268889065498,28
exp1,S3,,1.17715699332101,1.706397060419622,28
exp1,S4,,0.6408380780901227,3.9058208292323946,28
exp1,parent,,0.0001540184020996,0.0097292602991938,16
exp1,S1,,0.0277895927429199,0.1632804414611156,16
exp1,S3,,5.512046217918396,1.8675129555854648,16
exp1,S4,,0.5146973133087158,2.0594730270773542,16
exp1,parent,,0.0004716352982954,0.0296456629085333,22
exp1,S1,,1.5987389304421165,2.4084120752756637,22
exp1,S3,,2.942753878506747,1.215413983829212,22
exp1,S4,,1.254521456631747,2.760229631619617,22
exp1,parent,,0.0010784694126674,0.0301952513451509,28
exp1,S1,,0.2566525595528738,1.0477790970852694,28
exp1,S3,,7.236384528023856,2.228613627377475,28
exp1,S4,,1.1535555975777765,3.5459661381794967,28
exp1,parent,,0.000547308670847,0.0318226285513508,38
exp1,S1,,0.4232490941097862,0.7748102427952168,38
exp1,S3,,1.8562963385331004,1.054602766227417,38
exp1,S4,,1.319278917814556,5.906385541317077,38
exp1,parent,,0.0002619425455729,0.0114043713095013,18
exp1,S1,,0.0837296379937066,0.2595049919130627,18
exp1,S3,,13.686720106336804,2.3897985676492906,18
exp1,S4,,1.1811489529079862,2.413525419362382,18
exp1,parent,,0.0119400024414062,0.1130528669773654,28
exp1,S1,,0.0933325631277901,0.2474483721894532,28
exp1,S3,,5.86705562046596,1.386928209149805,28
exp1,S4,,1.3409053257533483,2.7857884978196923,28
exp1,parent,,0.0006332397460937,0.0249283725743071,24
exp1,S1,,0.5963735580444336,1.3643393843435163,24
exp1,S3,,12.445371945699057,1.9041817148944409,24
exp1,S4,,1.709537665049235,3.896009687943922,24
exp1,parent,,0.0015752883184523,0.0325375455488702,21
exp1,S1,,0.054840087890625,0.1148572397316431,21
exp1,S3,,10.29515584309896,1.7303582604032726,21
exp1,S4,,1.6011247180757069,4.422647935548462,21
exp1,parent,,0.0014410018920898,0.0594181589260678,24
exp1,S1,,0.354098637898763,0.4020044841020698,24
exp1,S3,,3.765182018280029,1.9603249438803516,24
exp1,S4,,0.946505069732666,2.632984876887822,24
exp1,parent,,0.0012329949273003,0.0466921427661564,36
exp1,S1,,0.3388180202907986,1.1722827910382447,36
exp1,S3,,10.636266920301647,1.9279332139266507,36
exp1,S4,,1.326569239298503,2.6701205698526125,36
exp1,parent,,0.0014591217041015,0.0544437360451221,20
exp1,S1,,0.5156070709228515,1.7710764689262528,20
exp1,S3,,3.5987319946289062,1.8155828688970528,20
exp1,S4,,1.6166252136230468,1.9245813162808083,20
exp1,parent,,0.0001100812639508,0.0055804259879587,28
exp1,S1,,0.5983799525669643,1.987490446843559,28
exp1,S3,,24.06662423270089,2.2820329618063804,28
exp1,S4,,0.2010683332170759,1.360069468190866,28
exp1,parent,,0.0022201538085937,0.0851379935383499,20
exp1,S1,,0.8977607727050781,1.306862864879477,20
exp1,S3,,10.36016082763672,1.6964187637997084,20
exp1,S4,,1.91153564453125,4.224803558014169,20
exp1,parent,,0.0017554543235085,0.0452510015425466,22
exp1,S1,,0.7076957009055398,2.356690875299292,22
exp1,S3,,6.769142020832408,1.283214678953115,22
exp1,S4,,0.352691650390625,1.2491337413966304,22
exp1,parent,,0.0004677405724158,0.0276052796155762,26
exp1,S1,,0.1141028771033653,0.6233855276961727,26
exp1,S3,,8.024174030010517,3.062812854338796,26
exp1,S4,,0.8038855332594651,3.826775487531991,26
exp1,parent,,0.0010061264038085,0.0730610523116004,32
exp1,S1,,0.0804629325866699,0.2551247171564502,32
exp1,S3,,5.694664239883423,1.7157455130758197,32
exp1,S4,,1.0402822494506836,4.397473470174156,32
exp1,parent,,0.0014690823025173,0.0366477640642654,36
exp1,S1,,0.1396090189615885,0.2005989712979496,36
exp1,S3,,20.60777325100369,1.5216276746017017,36
exp1,S4,,1.5261883205837674,5.195967920979329,36
exp1,parent,,0.0002918243408203,0.0129443038343606,8
exp1,S1,,0.129922866821289,0.2220249987610211,8
exp1,S3,,2.4538064002990723,1.322648225866442,8
exp1,S4,,0.4579343795776367,1.4359165522279007,8
exp1,parent,,0.0009361267089843,0.0382256374946558,20
exp1,S1,,0.0033740997314453,0.0408826533006475,20
exp1,S3,,2.10655517578125,0.9974714204709232,20
exp1,S4,,1.3285579681396484,2.9483059273226804,20
exp1,parent,,0.0001824118874289,0.0072475484771325,22
exp1,S1,,0.521485068581321,0.4093858840700373,22
exp1,S3,,10.566416306929154,1.7579008437882269,22
exp1,S4,,1.2271662625399502,2.88348591335317,22
exp1,parent,,0.0109353065490722,0.1093564666072732,32
exp1,S1,,0.302037239074707,0.7113629283107236,32
exp1,S3,,1.1512246131896973,0.8822703062327609,32
exp1,S4,,0.3568770885467529,1.953475386890254,32
exp1,parent,,0.0014166831970214,0.0330930445027835,16
exp1,S1,,0.688662052154541,0.6075251787596412,16
exp1,S3,,13.147725105285645,1.819025657742652,16
exp1,S4,,0.7279553413391113,2.253115358115424,16
exp1,parent,,0.0024223327636718,0.073422183999501,16
exp1,S1,,0.0251030921936035,0.156517381176597,16
exp1,S3,,7.141877830028534,1.3948428583460422,16
exp1,S4,,1.1197223663330078,1.8479623391797777,16
exp1,parent,,0.000125503540039,0.0090019436606014,10
exp1,S1,,0.0176712036132812,0.1022562398780095,10
exp1,S3,,1.9356689453125,1.31831444805173,10
exp1,S4,,0.1388935089111328,0.5875306584715875,10
exp1,parent,,0.0007349650065104,0.0282617154175189,12
exp1,S1,,0.0732860565185546,0.2691417568279488,12
exp1,S3,,22.395322799682617,3.360296678003455,12
exp1,S4,,1.5364303588867188,2.281039627114793,12
exp1,parent,,0.0009403228759765,0.047938211383923,32
exp1,S1,,0.3160381317138672,0.720041535762645,32
exp1,S3,,14.105645179748535,1.555464314319819,32
exp1,S4,,1.9057979583740237,4.735812888576565,32
exp1,parent,,0.000340597970145,0.0162443654121792,28
exp1,S1,,0.0190113612583705,0.0966415250844157,28
exp1,S3,,9.370059422084264,2.5328753467193827,28
exp1,S4,,1.0894794464111328,2.2451724876907675,28
exp1,parent,,0.0028279622395833,0.0499969226800298,36
exp1,S1,,0.3219612969292534,0.7733090740156966,36
exp1,S3,,17.055314805772568,1.5853840945651794,36
exp1,S4,,2.197402106391059,4.6635074874748845,36
exp1,parent,,0.0007714165581597,0.0284160825551689,18
exp1,S1,,0.3824239306979709,1.120502401108303,18
exp1,S3,,1.408384535047743,1.0564594069655706,18
exp1,S4,,0.6378518210517036,1.3922043496743977,18
exp1,parent,,0.0039836338588169,0.083468120638944,28
exp1,S1,,0.2328537532261439,0.6719759122622856,28
exp1,S3,,0.6958408355712891,0.8211935567229582,28
exp1,S4,,0.681544440133231,2.1058297461049538,28
exp1,parent,,0.0021829605102539,0.0445501050275929,32
exp1,S1,,0.159489631652832,0.409339548217403,32
exp1,S3,,5.456803798675537,1.4940350353622367,32
exp1,S4,,2.184668064117432,3.108537996155172,32
exp1,parent,,0.0001168251037597,0.0056331790750336,8
exp1,S1,,0.4642033576965332,0.716483270532629,8
exp1,S3,,0.8078293800354004,1.0194360599630048,8
exp1,S4,,1.102405071258545,3.0734486379600416,8
exp1,parent,,6.357828776041667e-06,0.0005806507405055,24
exp1,S1,,0.5021114349365234,0.6054866309217459,24
exp1,S3,,7.505690733591716,1.121685085901454,24
exp1,S4,,1.9442380269368489,3.5388336732915,24
exp1,parent,,0.0011138916015625,0.0329149565194084,24
exp1,S1,,0.1160519917805989,0.1442166023104829,24
exp1,S3,,46.61168924967448,2.4447315398229392,24
exp1,S4,,1.5890146891276042,5.440480416299883,24
exp1,parent,,0.0002038955688476,0.0109576630998198,10
exp1,S1,,0.0128021240234375,0.1256757892741985,10
exp1,S3,,18.470653915405272,2.189367878486874,10
exp1,S4,,0.4904592514038086,4.0542003295827485,10
exp1,parent,,0.0008449554443359,0.0303498359999913,16
exp1,S1,,0.1596837043762207,0.1890553340378328,16
exp1,S3,,14.62656831741333,2.1232508448871594,16
exp1,S4,,0.5960040092468262,1.9153718243073756,16
exp1,parent,,0.0009837680392795,0.0289688421685282,36
exp1,S1,,0.5136905246310763,0.5004180537253279,36
exp1,S3,,34.00547409057617,2.443637211212064,36
exp1,S4,,0.6539683871799045,3.0229985799008885,36
exp1,parent,,0.0001411437988281,0.0071185021994702,24
exp1,S1,,0.178477923075358,1.113353472585891,24
exp1,S3,,1.8152558008829756,1.0610186490570512,24
exp1,S4,,0.0580952962239583,0.6073880832213452,24
exp1,parent,,3.147125244140625e-05,0.0017116822923372,8
exp1,S1,,0.0468072891235351,0.1219829955547249,8
exp1,S3,,18.875214099884037,1.364315877230401,8
exp1,S4,,0.4934606552124023,0.771939974050427,8
exp1,parent,,0.00022554397583,0.0083706456925284,16
exp1,S1,,0.2180187702178955,0.4230443087963703,16
exp1,S3,,5.719732403755188,1.6380716982640822,16
exp1,S4,,0.9933590888977052,3.3714482077115124,16
exp1,parent,,0.00130615234375,0.0400763679998087,20
