lo,hi,real_ionic,real_nonionic,S4
0.3,0.35,1,2,0
0.35,0.39999999999999997,0,1,0
0.39999999999999997,0.44999999999999996,2,2,0
0.44999999999999996,0.49999999999999994,1,2,0
0.49999999999999994,0.5499999999999999,3,4,0
0.5499999999999999,0.5999999999999999,4,5,1
0.5999999999999999,0.6499999999999999,6,4,0
0.6499999999999999,0.7,24,12,0
0.7,0.7499999999999999,38,29,0
0.7499999999999999,0.7999999999999998,96,90,0
0.7999999999999998,0.8499999999999999,278,333,2
0.8499999999999999,0.8999999999999999,778,887,3
0.8999999999999999,0.95,2422,2045,5
0.95,0.9999999999999998,2100,2008,15
0.9999999999999998,1.0499999999999998,288,425,35
1.0499999999999998,1.0999999999999999,29,59,72
1.0999999999999999,1.15,3,21,172
1.15,1.1999999999999997,3,14,308
1.1999999999999997,1.2499999999999998,2,5,360
1.2499999999999998,1.2999999999999998,1,2,328
1.2999999999999998,1.3499999999999999,0,1,204
1.3499999999999999,1.3999999999999997,0,0,85
1.3999999999999997,1.4499999999999997,0,2,13
1.4499999999999997,1.4999999999999998,0,0,2
1.4999999999999998,1.5499999999999998,0,2,1
1.5499999999999998,1.5999999999999999,0,7,0
1.5999999999999999,1.6499999999999997,0,11,0
1.6499999999999997,1.6999999999999997,0,20,0
1.6999999999999997,1.7499999999999998,0,15,0
1.7499999999999998,1.7999999999999996,0,17,0
1.7999999999999996,1.8499999999999996,0,26,0
1.8499999999999996,1.8999999999999997,0,36,0
1.8999999999999997,1.9499999999999997,0,56,0
1.9499999999999997,1.9999999999999998,0,38,0
