rule,x,y,feature,threshold
D1,53.9912952615425,50.99255941746114,bl_min,0.804
D2,56.93605095578167,59.594336999336846,bl_min,1.05
D3,54.95333944833381,51.69165264621016,bl_mean,1.081
D4,69.7279041190232,-9.455322946387984,madz_range,31.45
D5,70.6814611961092,-10.477663423467066,mad_max,15.17
D6,52.48282310739664,49.27083362726125,frac_like_bonds,0.0001
D7,51.008342568130566,49.13198431769458,wyckoff_econ_001,0.6666666666666666
D8,56.17691419105717,51.454160872342925,bv_rel_mean,0.7143040821865658
