rule,coverage,accuracy,acc_energy_wrong,n_groups
Pauling 2 (bond-strength dev.),0.5938008175908699,0.5845576388209457,0.48344227034247655,1062
Pauling 3 (edge/face sharing),0.43960571941568105,0.43922676658722104,0.42154636985468524,779
Pauling 4 (high-valence contact),0.22442512987854518,0.3621486005612759,0.541873323610205,499
Pauling 5 (parsimony),0.2229514103183145,0.6552872918434911,0.5674507223805091,498
This work: bl_min,1.0,0.5688369021797052,0.5958847186945645,1508
Volume per atom,0.9862656369043231,0.6435372253705314,0.5463227434004889,1487
Shannon packing,0.9878790629868216,0.6280835555713552,0.5630171426703294,1490
DFT E_hull (baseline),0.9929818744473917,0.7501327074158693,0.0,1498
