rule,top1,random_baseline,lift,tie_rate,n_groups
Pauling 2 (bond-strength dev.),0.5054827753741659,0.47033302251551695,0.03514975285864891,0.5475083056478405,1505
Pauling 3 (edge/face sharing),0.45119192538182745,0.4645013629396699,-0.013309437557842474,0.519216277317257,1327
Pauling 4 (high-valence contact),0.4260708721836478,0.4645013629396699,-0.03843049075602212,0.8078372268274303,1327
Pauling 5 (parsimony),0.4940103910775517,0.47033302251551695,0.02367736856203473,0.8837209302325582,1505
This work: bl_min,0.5371352785145889,0.4703782264937133,0.06675705202087556,0.0,1508
Volume per atom,0.6132890365448505,0.47033302251551695,0.1429560140293335,0.014617940199335547,1505
Shannon packing,0.6014588859416445,0.4703782264937133,0.13108065944793124,0.011273209549071617,1508
DFT E_hull (baseline),0.763262599469496,0.4703782264937133,0.29288437297578274,0.009283819628647215,1508
