floor,one_lo,one_excl,one_sat,two_lo,two_hi,two_excl,two_sat,gain,two_S1,two_S2,two_S3,two_S4,two_S5
0.99,0.735,0.28812572759022115,0.990025332488917,0.73,3.04,0.2823050058207218,0.990025332488917,-0.005820721769499326,0.173,0.307,0.875,0.011,0.018
0.98,0.78,0.3674039580908033,0.9807631412286257,0.78,3.26,0.36821885913853314,0.9800506649778341,0.0008149010477298546,0.413,0.457,0.917,0.007,0.032
0.97,0.8,0.4064027939464494,0.9728467384420519,0.8,2.8,0.40966239813736904,0.9705509816339455,0.0032596041909196405,0.522,0.526,0.929,0.019,0.044
0.96,0.815,0.43771827706635624,0.9631095630145662,0.81,2.4,0.4343422584400466,0.9601013299556681,-0.0033760186263096514,0.587,0.557,0.935,0.03,0.054
0.95,0.83,0.4690337601862631,0.9503641545281823,0.83,3.58,0.469499417927823,0.9500474984167194,0.0004656577415599328,0.693,0.635,0.943,0.005,0.071
0.94,0.835,0.4784633294528522,0.9456143128562381,0.75,1.12,0.5125727590221187,0.9406269791006966,0.03410942956926655,0.303,0.388,0.922,0.89,0.063
0.92,0.85,0.5073341094295692,0.9244775174160861,0.8,1.08,0.6179278230500582,0.9232900569981001,0.11059371362048898,0.561,0.55,0.961,0.946,0.088
0.9,0.86,0.5227008149010477,0.9078530715642812,0.83,1.08,0.6805587892898719,0.9008074730842305,0.1578579743888242,0.733,0.658,0.975,0.947,0.116
