material_id,e_released_per_atom,L1,L2,L3,L4
gen_8857.cif,0.0304527282715,True,True,True,False
gen_2055.cif,0.00332090589735,,,,
gen_9864.cif,0.115496953328,,,,
gen_1618.cif,0,True,True,True,False
gen_5034.cif,0.000152111053467,,,,
gen_5163.cif,0.144402821859,,,,
gen_7685.cif,0,,,,
gen_9693.cif,0,,,,
gen_5190.cif,0.00528081258138,,,,
gen_7873.cif,0.00938288370768,,,,
gen_4849.cif,0.000271479288737,,,,
gen_7799.cif,0.00552787780762,,,,
gen_667.cif,0.0075937906901,,,,
gen_4848.cif,0,,,,
gen_6376.cif,0.702718734741,,,,
gen_2191.cif,0.00726890563965,,,,
gen_2461.cif,0.00185818142361,,,,
gen_9808.cif,0.00633335113525,,,,
gen_4839.cif,0,,,,
gen_2539.cif,0.00893947056362,,,,
gen_1617.cif,0.000311374664307,,,,
gen_8565.cif,0.0571640014648,True,False,False,False
gen_806.cif,0.014578138079,,,,
gen_4423.cif,0.00569000244141,,,,
gen_1322.cif,0.0219674110413,,,,
gen_1213.cif,0.00712312970843,,,,
gen_8736.cif,0.145919036865,,,,
gen_9917.cif,0,,,,
gen_3995.cif,0,True,True,,False
gen_8529.cif,0.0322089195251,True,True,True,False
gen_3067.cif,0,,,,
gen_263.cif,0.00196990966797,True,True,,False
gen_7015.cif,0,,,,
gen_8969.cif,0.033283551534,,,,
gen_5488.cif,0.00985760158963,,,,
gen_4731.cif,0.00538889567057,True,True,True,False
gen_4396.cif,0.287920379639,True,True,True,False
gen_4054.cif,0.00774553087023,True,True,True,False
gen_792.cif,0,,,,
gen_4511.cif,0,,,,
gen_1240.cif,0.00178146362305,True,True,True,False
gen_379.cif,0.0018253326416,,,,
gen_7479.cif,0.0131676991781,,,,
gen_1937.cif,0,,,,
gen_8660.cif,0.012610912323,,,,
gen_4130.cif,0,,,,
gen_4176.cif,0.0020393371582,True,True,True,False
gen_2168.cif,0.00587701797485,True,True,True,False
gen_3896.cif,0.193639945984,True,True,True,False
gen_2962.cif,0,,,,
gen_4008.cif,0.0303649902344,,,,
gen_4058.cif,0.01300573349,,,,
gen_163.cif,5.53131103516e-05,,,,
gen_7136.cif,0.0365837097168,,,,
gen_38.cif,0.000657558441162,True,True,,
gen_5020.cif,0.0102511814662,,,,
gen_5762.cif,0.0117581685384,,,,
gen_8948.cif,0.00587272644043,,,,
gen_25.cif,0.0131958007812,True,True,,False
gen_6713.cif,0,,,,
gen_4700.cif,0.292975107829,,,,
gen_7465.cif,0.0316036224365,,,,
gen_9295.cif,0,True,True,True,False
gen_858.cif,0.00489044189453,True,True,True,False
gen_2771.cif,0.0103622436523,True,True,True,False
gen_5071.cif,0,,,,
gen_9670.cif,0.0728690407493,,,,
gen_4799.cif,0,,,,
gen_5362.cif,0.0745639801025,True,True,,False
gen_4884.cif,0.00124835968018,,,,
gen_2690.cif,0.00967359542847,,,,
gen_6943.cif,0.00612754821777,,,,
gen_3283.cif,0.00190099080404,,,,
gen_9362.cif,0.000108083089193,,,,
gen_8439.cif,0.00977063179016,,,,
gen_7190.cif,2.13623046875e-05,True,True,True,False
gen_8444.cif,0.213301225142,,,,
gen_4105.cif,0.0302920341492,,,,
gen_6510.cif,0.0524787902832,,,,
gen_507.cif,0.011483669281,True,True,True,False
gen_7399.cif,0.0820838080512,True,True,True,False
gen_8012.cif,0.00543308258057,,,,
gen_1476.cif,8.53538513184e-05,,,,
gen_6547.cif,0.0176912943522,,,,
gen_6223.cif,0.00114297866821,True,True,True,False
gen_5817.cif,0.040049235026,,,,
gen_1365.cif,0.000513349260603,True,True,,False
gen_1561.cif,0.00623003641764,,,,
gen_7012.cif,0.0398536682129,,,,
gen_772.cif,0.000260353088379,,,,
gen_6300.cif,0.000870295933315,True,True,True,False
gen_8151.cif,0,,,,
gen_81.cif,0.0347811381022,,,,
gen_7974.cif,0.00953245162964,,,,
gen_2736.cif,0.0131673812866,True,True,True,False
gen_1000.cif,0.00276794433594,True,True,True,False
gen_6524.cif,0,,,,
gen_4545.cif,0,,,,
gen_9767.cif,0.0325895610609,,,,
gen_9035.cif,0.0532894134521,,,,
gen_500.cif,0.00221557617187,,,,
gen_3512.cif,0.00367800394694,,,,
gen_1898.cif,0.0449493408203,,,,
gen_6191.cif,0.0125551223755,True,True,True,False
gen_1018.cif,0.00113391876221,,,,
gen_4498.cif,0.0955933464898,,,,
gen_9244.cif,0.0345920562744,,,,
gen_6123.cif,0.055200958252,True,True,True,False
gen_6354.cif,0.0100092206682,,,,
gen_2710.cif,0,,,,
gen_8770.cif,0.00494984218052,True,True,True,False
