headB_200736.out	30:[headB bag 30] best vAUC=0.9474
headB_200736.out	31:[headB bag 31] best vAUC=0.9466
headB_200736.out	32:[headB bag 32] best vAUC=0.9464
headB_200736.out	33:[headB bag 33] best vAUC=0.9464
headB_200736.out	34:[headB bag 34] best vAUC=0.9464
headB_200736.out	35:[headB bag 35] best vAUC=0.9465
headB_200736.out	36:[headB bag 36] best vAUC=0.9456
headB_200736.out	37:[headB bag 37] best vAUC=0.9460
headB_200736.out	38:[headB bag 38] best vAUC=0.9454
headB_200736.out	39:[headB bag 39] best vAUC=0.9459
headB_200736.out	40:[headB bag 40] best vAUC=0.9471
headB_200736.out	41:[headB bag 41] best vAUC=0.9471
headB_200736.out	42:[headB bag 42] best vAUC=0.9464
headB_200736.out	43:[headB bag 43] best vAUC=0.9468
headB_200736.out	44:[headB bag 44] best vAUC=0.9459
headB_200736.out	45:[headB bag 45] best vAUC=0.9469
headB_200736.out	46:[headB bag 46] best vAUC=0.9463
headB_200736.out	47:[headB bag 47] best vAUC=0.9465
headB_200736.out	48:[headB bag 48] best vAUC=0.9459
headB_200736.out	49:[headB bag 49] best vAUC=0.9478
headB_200736.out	50:[headB bag 50] best vAUC=0.9443
