term,published,boot_mean,cluster_se,ci_lo,ci_hi,abs_z,sign_agreement
v_atom,-4.903580203915573,-4.999090355549852,1.0747366662447542,-7.170192530073442,-2.955666617914175,4.562587616042925,1.0
M_z,-1.2392289029845764,-1.3122330080792224,0.6091380997319408,-2.7780424178319327,-0.22345628302132742,2.0343972959989127,0.995
D_BV,-1.1782127479482547,-1.2001598987870807,0.23307542925919453,-1.69699433337369,-0.772952064843665,5.055070591066071,1.0
eta_site,-0.8404348959814586,-0.8458429032494965,0.0697328896760232,-0.9894033510007241,-0.7177573210772816,12.052202337893819,1.0
k_max,-0.22037834252664987,-0.22107735237372092,0.07487449874351233,-0.37333535004422547,-0.08144830709542528,2.9433030768135198,0.9995
f_iso,0.5881912276246081,0.5935985656563487,0.09588585646485508,0.4099114221415112,0.7824161916484124,6.134285590286166,1.0
