ruleset,n_rules,sat,excl,S1,S2,S3,S4,S5
L1,1,0.990025332488917,0.2887077997671711,0.19485294117647056,0.3234811165845649,0.8792650918635171,0.002409638554216831,0.018917498686284784
L1',2,0.987017099430019,0.38847497089639116,0.19537815126050417,0.3243021346469622,0.8797900262467192,0.5126506024096386,0.022595901208617986
L2,4,0.9508391386953768,0.6185098952270082,0.5609243697478992,0.5525451559934318,0.958005249343832,0.7548192771084338,0.2595901208617971
L3,5,0.9069031032298923,0.7061699650756694,0.6129201680672269,0.5665024630541872,0.9653543307086614,0.7620481927710844,0.5806621124540199
