fraction,draw,n_structures,n_groups,n_pairs,cosine,spearman_vs_published,dev_accuracy,v_atom,M_z,D_BV,eta_site,k_max,f_iso
0.5,0,2094,382,3225,0.9761665893080836,0.9277695827731355,0.7429512415112587,-5.235531150590228,-0.11236057490988965,-1.097707525292785,-0.8789636992052142,-0.18659582319651352,0.4928332478139372
0.5,1,2094,379,4004,0.9789975193883285,0.9570260809982886,0.7457442301901652,-5.340566808193481,-0.3555472661699649,-0.7307084240308522,-0.6118582888710706,-0.1442355829889133,0.48285285922103705
0.5,2,2094,368,3837,0.9901064851766177,0.992654272928136,0.7521388448995744,-4.672628091827796,-1.895902096299884,-1.428981729109204,-0.7917492422199217,-0.25462908063251755,0.49463842505793765
0.5,3,2094,385,3872,0.9894334890366714,0.9946324689108397,0.7541301700351183,-3.590994324115394,-1.4232250811076839,-1.1577343850253887,-0.781668830210355,-0.3248118547201917,0.5192635430346694
0.5,4,2094,361,4133,0.9776924651800076,0.9919634992245199,0.7456811495069078,-3.3069679738963056,-1.2849022734150706,-1.5150718773282028,-0.7204075267802103,-0.1848444612505518,0.6264880330982812
0.5,5,2094,362,3813,0.985740948458123,0.9729374613719899,0.7399965913529255,-5.724309350160927,-0.5293877497882149,-0.9767590552621994,-0.8092069440154784,-0.12444973888201318,0.41618885188863947
0.5,6,2094,364,3700,0.9810208567581014,0.9430968900045964,0.745655286404734,-4.697367827466941,-0.21559512217059695,-1.1068611754920088,-0.9270154369005512,-0.22194180767915198,0.6598194119846121
0.5,7,2094,357,3437,0.9960493703635529,0.9927020725549568,0.7459673239823278,-4.756332229183701,-0.8143414798183839,-1.2605750300107028,-0.7261729289786317,-0.122307576941325,0.7389127491514692
0.5,8,2094,360,3315,0.9048073555694869,0.9790971528772855,0.7416612832603179,-1.878289631923458,-1.2243501526602116,-1.3389983233265952,-0.7931525921002953,-0.12578526641789187,0.37306370825777924
0.5,9,2094,363,3557,0.9941371103390256,0.989817982559491,0.7428477015759567,-4.789205027259735,-0.6806180344588774,-1.033416228540368,-0.7843699103193036,-0.15762139310393952,0.40805612478308156
0.5,10,2094,381,3257,0.9857079786447093,0.9713151941920151,0.7472763716542178,-5.771526933875731,-0.4732553230163357,-1.1803088024471395,-0.847158044898357,-0.25307181419162383,0.38396316774151645
0.5,11,2094,368,4469,0.9808536524096345,0.9894681044231423,0.7396760362465674,-3.049883968715979,-1.4647584017519844,-0.704383205618447,-0.6473557262426696,-0.11521394890151483,0.4911620682927939
0.5,12,2094,389,3663,0.991782430944808,0.9846304021891821,0.7527049138621799,-5.57805117836254,-0.6438656379585322,-1.3151476439100325,-0.8758209184183605,-0.2598051595870641,0.5529470689555882
0.5,13,2094,381,3683,0.9866064730047278,0.9786733139232043,0.7463603176754566,-7.108458183398476,-0.7890034255932764,-1.3713479643903264,-0.6642605620558847,-0.1778102616340535,0.43233888622252564
0.5,14,2094,364,3542,0.9509565341433868,0.8169148597287162,0.7401498243625286,-3.719226201818447,0.2801523236429981,-0.9688249897028617,-0.6168125014285224,-0.2228150549149154,0.20949195096151121
0.5,15,2094,361,3868,0.9076249043372655,0.6371001759962631,0.7392485041623554,-2.720426832969257,0.5461848090574466,-0.9464250962621121,-0.6870337578035222,-0.1473714937770925,0.36799824283446586
0.5,16,2094,363,2930,0.9596749408567871,0.9860012690937183,0.7482143382959586,-2.9929171215695956,-1.6751149656158342,-1.2740543027976399,-0.6942841562221665,-0.18906680248195726,0.6982205274066529
0.5,17,2094,380,3724,0.9931506621656847,0.9913778461833331,0.7459926339423917,-5.344918608951059,-0.8166512241455568,-0.9784437215950744,-0.8045499520317002,-0.3499738473422089,0.36302084318706485
0.5,18,2094,364,3683,0.9436272535300433,0.9851143848749819,0.7443673545375449,-2.3451056197130176,-1.1724294513118998,-1.4029731542695358,-0.7628836959234799,-0.12527413436163323,0.5234597188391376
0.5,19,2094,369,4125,0.9411651220867531,0.9810610934762648,0.7491118897824195,-2.928791728121232,-2.011275676612435,-1.13064156192224,-0.7405285079058607,-0.2235778812744182,0.3851961603231096
0.5,20,2094,379,3606,0.9747577864820396,0.924191107572851,0.7481858319038012,-5.653934496973481,-0.09053092688822514,-1.1578825992009738,-0.835527192107309,-0.22316762573756124,0.5414107743232369
0.5,21,2094,372,3876,0.9783090854537152,0.9885501999741233,0.7434862984538368,-3.495301781638317,-1.6954200175863607,-0.7285457276748075,-0.8322265529781386,-0.18057651075069792,0.6257065388425731
0.5,22,2094,379,3786,0.9872910264315198,0.9797698751237574,0.7424873014555772,-7.998195345669772,-0.9757077700323151,-1.3557902193809512,-0.6836365214656795,-0.1717033343722765,0.7265312474390891
