rho,count
0.31,0
0.33,3
0.35000000000000003,1
0.37000000000000005,0
0.39000000000000007,0
0.4100000000000001,1
0.4300000000000001,0
0.4500000000000001,3
0.47000000000000014,2
0.4900000000000002,1
0.5100000000000002,1
0.5300000000000002,2
0.5500000000000003,8
0.5700000000000003,2
0.5900000000000003,3
0.6100000000000003,3
0.6300000000000003,3
0.6500000000000004,8
0.6700000000000004,10
0.6900000000000004,22
0.7100000000000004,14
0.7300000000000004,29
0.7500000000000004,55
0.7700000000000005,55
0.7900000000000005,100
0.8100000000000005,181
0.8300000000000005,251
0.8500000000000005,389
0.8700000000000006,586
0.8900000000000006,869
0.9100000000000006,1273
0.9300000000000006,2019
0.9500000000000006,2233
0.9700000000000006,1828
0.9900000000000007,1223
1.0100000000000007,491
1.0300000000000007,178
1.0500000000000007,67
1.0700000000000007,44
1.0900000000000007,20
1.1100000000000008,13
1.1300000000000008,8
1.1500000000000008,6
1.1700000000000008,10
1.1900000000000008,4
1.2100000000000009,3
1.2300000000000009,1
1.2500000000000009,4
1.270000000000001,2
1.290000000000001,0
1.310000000000001,0
1.330000000000001,1
1.350000000000001,0
1.370000000000001,0
1.390000000000001,0
1.410000000000001,2
1.430000000000001,0
1.450000000000001,0
1.470000000000001,0
1.490000000000001,0
1.5100000000000011,0
1.5300000000000011,0
1.5500000000000012,2
1.5700000000000012,3
1.5900000000000012,4
1.6100000000000012,5
1.6300000000000012,3
1.6500000000000012,11
1.6700000000000013,4
1.6900000000000013,8
1.7100000000000013,10
1.7300000000000013,2
1.7500000000000013,5
1.7700000000000014,7
1.7900000000000014,8
1.8100000000000014,9
1.8300000000000014,6
1.8500000000000014,20
1.8700000000000014,11
1.8900000000000015,16
1.9100000000000015,23
1.9300000000000015,22
1.9500000000000015,24
1.9700000000000015,12
1.9900000000000015,13
2.0100000000000016,8
2.030000000000001,27
2.0500000000000016,15
2.070000000000001,15
2.0900000000000016,13
2.110000000000001,13
2.1300000000000017,22
2.1500000000000012,16
2.1700000000000017,16
2.1900000000000013,12
2.2100000000000017,10
2.2300000000000013,14
2.2500000000000018,5
2.2700000000000014,10
2.290000000000002,13
2.3100000000000014,7
2.330000000000002,11
2.3500000000000014,6
2.370000000000002,9
2.3900000000000015,6
2.410000000000002,6
2.4300000000000015,1
2.450000000000002,3
2.4700000000000015,5
2.490000000000002,5
2.5100000000000016,2
2.530000000000002,3
2.5500000000000016,1
2.570000000000002,1
2.5900000000000016,2
