corruption,amplitude,n,excl_L1,excl_L1',excl_L2,excl_L3,excl_L4,excl_md_0.5,excl_md_0.7
iso_expansion,0.02,440,0.009090909090909038,0.013636363636363669,0.022727272727272707,0.06818181818181823,0.1659090909090909,0.0,0.0
iso_expansion,0.05,440,0.004545454545454519,0.027272727272727226,0.03409090909090906,0.07727272727272727,0.18409090909090908,0.0,0.0
iso_expansion,0.1,440,0.0,0.15681818181818186,0.3590909090909091,0.3954545454545455,0.509090909090909,0.0,0.0
iso_expansion,0.2,440,0.0,0.40681818181818186,0.5431818181818182,0.5681818181818181,0.7909090909090909,0.0,0.0
iso_expansion,0.3,440,0.0,0.4113636363636364,0.6772727272727272,0.6795454545454546,0.8340909090909091,0.0,0.0
uni_compression,0.02,440,0.009090909090909038,0.013636363636363669,0.04318181818181821,0.09090909090909094,0.24090909090909096,0.0,0.0
uni_compression,0.05,440,0.009090909090909038,0.011363636363636354,0.045454545454545414,0.08863636363636362,0.2295454545454545,0.0,0.0
uni_compression,0.1,440,0.018181818181818188,0.018181818181818188,0.09090909090909094,0.15681818181818186,0.28181818181818186,0.0,0.0
uni_compression,0.2,440,0.06590909090909092,0.06590909090909092,0.4568181818181818,0.5159090909090909,0.6590909090909092,0.0,0.002272727272727315
uni_compression,0.3,440,0.48863636363636365,0.48863636363636365,0.8090909090909091,0.85,0.9113636363636364,0.0,0.002272727272727315
gauss_disp,0.05,440,0.013636363636363669,0.013636363636363669,0.07499999999999996,0.13636363636363635,1.0,0.0,0.0
gauss_disp,0.1,440,0.05227272727272725,0.05227272727272725,0.25681818181818183,0.3295454545454546,1.0,0.0,0.0
gauss_disp,0.2,440,0.4113636363636364,0.4113636363636364,0.7113636363636364,0.7522727272727272,1.0,0.0,0.006818181818181834
gauss_disp,0.4,440,0.8272727272727273,0.8272727272727273,0.9340909090909091,0.9386363636363636,1.0,0.020454545454545503,0.07272727272727275
gauss_disp,0.8,440,0.9295454545454546,0.9295454545454546,0.9840909090909091,0.9863636363636363,1.0,0.13863636363636367,0.3318181818181818
real,0.0,440,0.009090909090909038,0.013636363636363669,0.03409090909090906,0.08181818181818179,0.17272727272727273,0.0,0.0
