tau,sat,excl,S1,S2,S3,S4,S5
0.55,0.9972292590246992,0.14016298020954598,0.0031512605042016695,0.014778325123152691,0.6104986876640419,0.0018072289156626509,0.0073568050446662925
0.555,0.9970709309689677,0.14272409778812578,0.0031512605042016695,0.017241379310344862,0.6204724409448819,0.0018072289156626509,0.0073568050446662925
0.56,0.9969126029132362,0.1445867287543655,0.0031512605042016695,0.01806239737274218,0.6283464566929133,0.0018072289156626509,0.0073568050446662925
0.565,0.9968334388853705,0.14749708963911523,0.0031512605042016695,0.02052545155993435,0.6398950131233596,0.0018072289156626509,0.0073568050446662925
0.57,0.9968334388853705,0.15005820721769503,0.0031512605042016695,0.026272577996715896,0.6477690288713911,0.0018072289156626509,0.0073568050446662925
0.575,0.9968334388853705,0.15285215366705474,0.003676470588235281,0.028735632183908066,0.657742782152231,0.002409638554216831,0.0073568050446662925
0.58,0.9967542748575048,0.15436554132712454,0.003676470588235281,0.03284072249589487,0.6619422572178477,0.002409638554216831,0.0073568050446662925
0.585,0.996675110829639,0.15727590221187426,0.004201680672268893,0.03612479474548436,0.6724409448818898,0.002409638554216831,0.0073568050446662925
0.59,0.996675110829639,0.15960419091967404,0.004201680672268893,0.039408866995073843,0.6803149606299213,0.002409638554216831,0.00788229111928529
0.595,0.9965167827739075,0.16123399301513386,0.005252100840336116,0.04022988505747127,0.6860892388451443,0.002409638554216831,0.00788229111928529
0.6,0.9965167827739075,0.16367869615832364,0.006302521008403339,0.04351395730706076,0.6939632545931759,0.002409638554216831,0.00788229111928529
0.605,0.9963584547181761,0.1656577415599534,0.006302521008403339,0.04761904761904767,0.7002624671916011,0.002409638554216831,0.00788229111928529
0.61,0.9963584547181761,0.16868451688009312,0.0068277310924369505,0.05090311986863716,0.7112860892388451,0.002409638554216831,0.00788229111928529
0.615,0.9962792906903103,0.17077997671711287,0.008928571428571397,0.05336617405582922,0.7165354330708662,0.002409638554216831,0.008407777193904398
0.62,0.9962792906903103,0.17334109429569267,0.012079831932773066,0.05582922824302139,0.7228346456692913,0.002409638554216831,0.008933263268523395
0.625,0.9962792906903103,0.17694994179278234,0.014705882352941124,0.06568144499178985,0.7301837270341207,0.002409638554216831,0.008933263268523395
0.63,0.9962001266624446,0.17986030267753206,0.01575630252100846,0.07307060755336614,0.7375328083989501,0.002409638554216831,0.008933263268523395
0.635,0.9961209626345788,0.18277066356228178,0.017857142857142905,0.07635467980295563,0.7464566929133858,0.002409638554216831,0.008933263268523395
0.64,0.9960417986067132,0.18509895227008144,0.017857142857142905,0.08538587848932677,0.7511811023622047,0.002409638554216831,0.008933263268523395
0.645,0.9958834705509816,0.18894062863795114,0.022058823529411797,0.08949096880131358,0.7616797900262468,0.002409638554216831,0.008933263268523395
0.65,0.9957251424952501,0.19348079161816067,0.02626050420168069,0.10016420361247946,0.7695538057742782,0.002409638554216831,0.010509721492380497
0.655,0.9956459784673845,0.1977881257275902,0.028886554621848748,0.10673234811165844,0.7816272965879265,0.002409638554216831,0.011035207566999494
0.66,0.9954084863837872,0.20104772991850994,0.031512605042016806,0.1165845648604269,0.7868766404199475,0.002409638554216831,0.011560693641618491
0.665,0.9952501583280557,0.20512223515715944,0.03623949579831931,0.1239737274220033,0.7952755905511811,0.002409638554216831,0.012086179716237488
0.67,0.9950918302723243,0.20942956926658907,0.03991596638655459,0.13464696223316908,0.8041994750656167,0.002409638554216831,0.012086179716237488
0.675,0.9946960101329956,0.21478463329452857,0.047268907563025264,0.14942528735632188,0.8110236220472441,0.002409638554216831,0.012611665790856597
0.68,0.9946168461051298,0.21955762514551802,0.0535714285714286,0.1617405582922824,0.8183727034120735,0.002409638554216831,0.012611665790856597
0.685,0.9940626979100696,0.2233993015133876,0.060924369747899165,0.17159277504105086,0.8220472440944881,0.002409638554216831,0.012611665790856597
0.69,0.9937460417986067,0.2274738067520372,0.06880252100840334,0.17980295566502458,0.8272965879265092,0.002409638554216831,0.012611665790856597
0.695,0.9934293856871438,0.2338766006984866,0.0798319327731093,0.20114942528735635,0.8309711286089239,0.002409638554216831,0.013137151865475594
0.7,0.9928752374920836,0.2393480791618161,0.09086134453781514,0.2101806239737274,0.8383202099737532,0.002409638554216831,0.01366263794009459
0.705,0.9927169094363522,0.2461001164144354,0.1029411764705882,0.22660098522167482,0.8451443569553806,0.002409638554216831,0.014713610089332585
0.71,0.9924794173527549,0.25203725261932475,0.11502100840336138,0.23891625615763545,0.8509186351706037,0.002409638554216831,0.01576458223857069
0.715,0.9922419252691577,0.25855646100116414,0.12815126050420167,0.2545155993431856,0.8572178477690289,0.002409638554216831,0.01576458223857069
0.72,0.9917669411019633,0.2658905704307334,0.14548319327731096,0.270935960591133,0.8619422572178478,0.002409638554216831,0.016290068313189687
0.725,0.9914502849905004,0.2713620488940629,0.1559873949579832,0.2857142857142857,0.8656167979002625,0.002409638554216831,0.017341040462427793
0.73,0.9910544648511717,0.280558789289872,0.1733193277310925,0.30706075533661736,0.8750656167979003,0.002409638554216831,0.018392012611665787
0.735,0.990025332488917,0.28812572759022115,0.1922268907563025,0.3234811165845649,0.8792650918635171,0.002409638554216831,0.018917498686284784
0.74,0.9894711842938568,0.29464493597206054,0.21165966386554624,0.33333333333333337,0.8818897637795275,0.002409638554216831,0.01996847083552289
0.745,0.9889170360987967,0.30267753201396974,0.2326680672268907,0.34729064039408863,0.8866141732283465,0.002409638554216831,0.02154492905937988
0.75,0.9875712476250792,0.31327124563445863,0.2636554621848739,0.3637110016420362,0.8929133858267717,0.002409638554216831,0.02154492905937988
0.755,0.9865421152628245,0.32118742724097793,0.2820378151260504,0.3825944170771757,0.8965879265091864,0.002409638554216831,0.023121387283236983
