analysis_unit,provenance,score_model,decile,n,weight_sum,score_min,score_median,score_max,tie_with_previous_decile,tie_with_next_decile,ties_split_across_boundary,decile_definition,parse_ok_rate,n_elements_known_n,n_elements_mean,n_elements_median,n_sites_known_n,n_sites_mean,n_sites_median,L4_pass_n,L4_pass_weight,L4_pass_rate,L4_explicit_violation_n,L4_explicit_violation_weight,L4_explicit_violation_rate,L4_no_verdict_n,L4_no_verdict_weight,L4_no_verdict_rate,D7_pass_n,D7_pass_weight,D7_pass_rate,D7_explicit_violation_n,D7_explicit_violation_weight,D7_explicit_violation_rate,D7_no_verdict_n,D7_no_verdict_weight,D7_no_verdict_rate
unique_cif_equal_weight_sensitivity,all,CLscore_B,2,810868,810477.5,0.0036619999445974827,0.006541999988257885,0.010332000441849232,True,True,True,equal record count ordered by score then orig_index,1.0,810868,3.106900561705908,3.0,810868,7.296318528274998,6.0,5363,5363.0,0.006617086840782132,410285,409899.5,0.5057506223183247,395220,395215.0,0.48763229084089316,420207,420201.0,0.518461030688699,390661,390276.5,0.4815389693113011,0,0.0,0.0
unique_cif_equal_weight_sensitivity,all,CLscore_B,3,810867,810458.5,0.010332000441849232,0.01521500013768673,0.02140600048005581,True,True,True,equal record count ordered by score then orig_index,1.0,810867,3.095551468705677,3.0,810867,7.368357540824114,6.0,9516,9516.0,0.011741501878257801,407775,407370.0,0.5026414060682934,393576,393572.5,0.4856170920534488,423968,423962.5,0.5231143852522986,386899,386496.0,0.47688561474770147,0,0.0,0.0
unique_cif_equal_weight_sensitivity,all,CLscore_B,4,810868,810491.5,0.02140600048005581,0.029153000563383102,0.03884100168943405,True,True,True,equal record count ordered by score then orig_index,1.0,810868,3.0961472143754745,3.0,810868,7.666649187560881,7.0,15746,15746.0,0.019427717625662946,388571,388195.0,0.4789624567315018,406551,406550.5,0.5016098256428353,445727,445726.5,0.5499459278721616,365141,364765.0,0.4500540721278385,0,0.0,0.0
unique_cif_equal_weight_sensitivity,all,CLscore_B,5,810867,810564.0,0.03884100168943405,0.05098100006580353,0.06638099998235703,True,True,True,equal record count ordered by score then orig_index,1.0,810867,3.1128442664613774,3.0,810867,8.002553160515394,8.0,25884,25884.0,0.03193332050276104,371206,370905.0,0.45758879002768443,413777,413775.0,0.5104778894695545,467020,467018.0,0.5761642510646907,343847,343546.0,0.42383574893530923,0,0.0,0.0
unique_cif_equal_weight_sensitivity,all,CLscore_B,6,810868,810572.0,0.06638099998235703,0.08612500131130219,0.11160500347614288,True,True,True,equal record count ordered by score then orig_index,1.0,810868,3.1336617845176,3.0,810868,8.406429657081667,8.0,42520,42520.0,0.05245678360466436,354999,354703.5,0.437596536766629,413349,413348.5,0.5099466796287067,488616,488615.5,0.6028033290071703,322252,321956.5,0.39719667099282974,0,0.0,0.0
unique_cif_equal_weight_sensitivity,all,CLscore_B,7,810868,810651.0,0.11160500347614288,0.1446170061826706,0.187608003616333,True,True,True,equal record count ordered by score then orig_index,1.0,810868,3.158314737168029,3.0,810868,8.898122619968396,8.0,66348,66348.0,0.08184533171488101,338803,338589.5,0.4176760406142717,405717,405713.5,0.5004786276708473,511157,511153.5,0.6305469308000607,299711,299497.5,0.3694530691999393,0,0.0,0.0
unique_cif_equal_weight_sensitivity,all,CLscore_B,8,810867,810723.5,0.187608003616333,0.24467100203037262,0.32089200615882874,True,True,True,equal record count ordered by score then orig_index,1.0,810867,3.196456621770554,3.0,810867,9.577296698566157,8.0,99351,99350.0,0.12254486270596572,318352,318212.5,0.39250434951003643,393164,393161.0,0.48495078778399786,539697,539693.0,0.6656930507133443,271170,271030.5,0.33430694928665566,0,0.0,0.0
unique_cif_equal_weight_sensitivity,all,CLscore_B,9,810868,810787.5,0.32089200615882874,0.421409010887146,0.5541340112686157,True,True,True,equal record count ordered by score then orig_index,1.0,810868,3.264605707414088,3.0,810868,10.749527465581302,9.0,150444,150444.0,0.1855529346468711,292360,292280.5,0.3604896474106964,368064,368063.0,0.4539574179424325,571568,571565.0,0.7049504339916439,239300,239222.5,0.2950495660083561,0,0.0,0.0
unique_cif_equal_weight_sensitivity,all,CLscore_B,10,810867,810835.0,0.5541340112686157,0.734404981136322,1.0,True,False,True,equal record count ordered by score then orig_index,1.0,810867,3.376413203672757,3.0,810867,15.233032614527,11.0,241196,241194.0,0.29746372566551765,258238,258212.0,0.31845196618300886,311433,311429.0,0.3840843081514735,618537,618531.0,0.7628321421744251,192330,192304.0,0.23716785782557487,0,0.0,0.0
unique_cif_equal_weight_sensitivity,all,CLscore_jang,1,810868,810394.0,0.0,0.004532000049948692,0.02375900000333786,False,True,True,equal record count ordered by score then orig_index,1.0,810868,3.3099405967961264,3.0,810868,8.198465191005857,4.0,29195,29194.0,0.03602445230344746,480808,480337.0,0.5927203310982065,300865,300863.0,0.371255216598346,338835,338831.0,0.4181065012820924,472033,471563.0,0.5818934987179076,0,0.0,0.0
unique_cif_equal_weight_sensitivity,all,CLscore_jang,2,810868,810274.0,0.02375900000333786,0.05505099892616272,0.09510499984025955,True,True,True,equal record count ordered by score then orig_index,1.0,810868,3.1541799440683027,3.0,810868,7.697556628992168,6.0,42461,42460.0,0.05240202696865505,444172,443584.0,0.5474493813203929,324235,324230.0,0.4001485917109521,382288,382281.0,0.47179225792756524,428580,427993.0,0.5282077420724347,0,0.0,0.0
unique_cif_equal_weight_sensitivity,all,CLscore_jang,3,810867,810406.0,0.09510499984025955,0.1412159949541092,0.1909179985523224,True,True,True,equal record count ordered by score then orig_index,1.0,810867,3.1672569057978346,3.0,810867,8.11980661544954,7.0,54199,54198.0,0.06687758975130983,398969,398516.0,0.4917485803412117,357699,357692.0,0.4413738299074785,434709,434700.0,0.5363978055443814,376158,375706.0,0.46360219445561857,0,0.0,0.0
unique_cif_equal_weight_sensitivity,all,CLscore_jang,4,810868,810518.0,0.1909179985523224,0.2425599992275238,0.29511600732803345,True,True,True,equal record count ordered by score then orig_index,1.0,810868,3.1836998067902256,3.0,810868,8.518509150938042,8.0,61976,61976.0,0.07646468061165822,368678,368329.0,0.45443654551780466,380214,380213.0,0.4690987738705371,471312,471310.0,0.5814923295966283,339556,339208.0,0.41850767040337167,0,0.0,0.0
unique_cif_equal_weight_sensitivity,all,CLscore_jang,5,810867,810614.0,0.29511600732803345,0.3479979932308197,0.40100398659706116,True,True,True,equal record count ordered by score then orig_index,1.0,810867,3.1906863192592283,3.0,810867,8.841014342214667,8.0,67843,67843.0,0.08369334849879227,347180,346929.0,0.4279829857367378,395844,395842.0,0.4883236657644699,499173,499171.0,0.6157937069924773,311694,311443.0,0.3842062930075227,0,0.0,0.0
unique_cif_equal_weight_sensitivity,all,CLscore_jang,6,810868,810681.0,0.40100398659706116,0.4535120129585266,0.5057010054588318,True,True,True,equal record count ordered by score then orig_index,1.0,810868,3.183928080218976,3.0,810868,9.106204536679655,8.0,71266,71266.0,0.08790880753341944,330831,330649.0,0.40786573263712855,408771,408766.0,0.504225459829452,520479,520474.0,0.6420207208507416,290389,290207.0,0.3579792791492585,0,0.0,0.0
unique_cif_equal_weight_sensitivity,all,CLscore_jang,7,810868,810762.0,0.5057010054588318,0.5575479865074158,0.6094440221786499,True,True,True,equal record count ordered by score then orig_index,1.0,810868,3.159176182406181,3.0,810868,9.35627348099689,8.0,74290,74290.0,0.09162984945027024,315239,315134.0,0.3886886657243433,421339,421338.0,0.5196814848253865,541743,541742.0,0.6681886916259026,269125,269020.0,0.33181130837409745,0,0.0,0.0
unique_cif_equal_weight_sensitivity,all,CLscore_jang,8,810867,810763.0,0.6094440221786499,0.6617270112037659,0.714743971824646,True,True,True,equal record count ordered by score then orig_index,1.0,810867,3.125307888988521,3.0,810867,9.632400590554823,8.0,77115,77115.0,0.09511410856193486,301098,300995.0,0.37124905798611924,432654,432653.0,0.5336368334519459,558197,558196.0,0.688482330841442,252670,252567.0,0.31151766915855805,0,0.0,0.0
unique_cif_equal_weight_sensitivity,all,CLscore_jang,9,810868,810814.0,0.714743971824646,0.7695220112800598,0.8272809982299805,True,False,True,equal record count ordered by score then orig_index,1.0,810868,3.098209947040875,3.0,810868,10.096905085506664,8.0,82134,82134.0,0.1012982015604072,281336,281282.0,0.34691310214179827,447398,447398.0,0.5517886962977946,579541,579541.0,0.714764421926607,231327,231273.0,0.2852355780733929,0,0.0,0.0
unique_cif_equal_weight_sensitivity,all,CLscore_jang,10,810867,810821.0,0.8272820115089417,0.8911979794502258,0.9996849894523621,False,False,False,equal record count ordered by score then orig_index,1.0,810867,3.110349879936509,3.0,810867,11.240763374406928,9.0,97475,97475.0,0.12021765593145713,244819,244775.0,0.30188537297381296,468573,468571.0,0.5778969710947299,617299,617296.0,0.7613221660514466,193568,193525.0,0.23867783394855338,0,0.0,0.0
