scheme,score_model,outcome,complete_n,rows_after_min_group,n,n_strata,excluded_small_rows,excluded_constant_rows,strata_too_few,strata_constant_score,strata_constant_outcome,spearman_rho,pvalue,pvalue_note
n_elements+site_bin,CLscore_B,D1_D8_explicit_violation_count,8108676,8108620,8108564,42,56,56,9,0,1,0.08148032109251499,,not reported for pooled centered within-stratum ranks
n_elements+site_bin,CLscore_B,D1_D8_no_verdict_count,8108676,8108620,8103826,37,56,4794,9,0,6,-0.3035033160728707,,not reported for pooled centered within-stratum ranks
n_elements+site_bin,CLscore_B,L2:explicit_violation,8108676,8108620,8103778,36,56,4842,9,0,7,0.07381529642302757,,not reported for pooled centered within-stratum ranks
n_elements+site_bin,CLscore_B,L2:no_verdict,8108676,8108620,8103826,37,56,4794,9,0,6,-0.2994790769964447,,not reported for pooled centered within-stratum ranks
n_elements+site_bin,CLscore_B,L4:explicit_violation,8108676,8108620,6251025,39,56,1857595,9,0,4,0.08397654401780039,,not reported for pooled centered within-stratum ranks
n_elements+site_bin,CLscore_B,L4:no_verdict,8108676,8108620,6250977,38,56,1857643,9,0,5,-0.21767576461210172,,not reported for pooled centered within-stratum ranks
n_elements+site_bin,CLscore_B,D7:explicit_violation,8108676,8108620,6250994,38,56,1857626,9,0,5,0.03068050281167954,,not reported for pooled centered within-stratum ranks
n_elements+site_bin,CLscore_B,D7:no_verdict,8108676,8108620,0,0,56,8108620,9,0,43,,,not reported for pooled centered within-stratum ranks
n_elements+site_bin,CLscore_jang,D1_D8_explicit_violation_count,8108676,8108620,8108564,42,56,56,9,0,1,0.06406239708759694,,not reported for pooled centered within-stratum ranks
n_elements+site_bin,CLscore_jang,D1_D8_no_verdict_count,8108676,8108620,8103826,37,56,4794,9,0,6,-0.1980076697313097,,not reported for pooled centered within-stratum ranks
n_elements+site_bin,CLscore_jang,L2:explicit_violation,8108676,8108620,8103778,36,56,4842,9,0,7,0.08932512005398924,,not reported for pooled centered within-stratum ranks
n_elements+site_bin,CLscore_jang,L2:no_verdict,8108676,8108620,8103826,37,56,4794,9,0,6,-0.202150123414863,,not reported for pooled centered within-stratum ranks
n_elements+site_bin,CLscore_jang,L4:explicit_violation,8108676,8108620,6251025,39,56,1857595,9,0,4,0.055163033949352624,,not reported for pooled centered within-stratum ranks
n_elements+site_bin,CLscore_jang,L4:no_verdict,8108676,8108620,6250977,38,56,1857643,9,0,5,-0.08748891624966375,,not reported for pooled centered within-stratum ranks
n_elements+site_bin,CLscore_jang,D7:explicit_violation,8108676,8108620,6250994,38,56,1857626,9,0,5,0.008756965398112757,,not reported for pooled centered within-stratum ranks
n_elements+site_bin,CLscore_jang,D7:no_verdict,8108676,8108620,0,0,56,8108620,9,0,43,,,not reported for pooled centered within-stratum ranks
