task,experiment,status,status_reason,formula,n_atoms,encut_ev,n_kpoints,candidate_id,role,pss,uma_bulk_modulus_gpa,relax_cell.energy_ev,relax_cell.energy_ev_per_atom,relax_cell.volume_a3,relax_cell.release_ev_per_atom,relax_cell.n_ionic_steps,relax_cell.converged,relax_cell.elapsed_s,relax_cell.close_ions_warning,static.energy_ev,static.energy_ev_per_atom,static.volume_a3,static.release_ev_per_atom,static.n_ionic_steps,static.converged,static.elapsed_s,static.close_ions_warning
E4-candidate_0000,E4,complete,,Ir5Os7,12,520.0,192,candidate_0000,control,-0.569329827009457,375.547605320632,-118.75772274,-9.896476895000001,178.18866235623523,0.0054536225000004395,14,True,315.901,False,-118.7618091,-9.896817425,178.18866235623523,0.0,1,False,50.286,False
E4-candidate_0004,E4,complete,,ReIrOs2,4,520.0,539,candidate_0004,control,0.24151701209006252,390.44888326733593,-43.5927132,-10.8981783,58.22673376909213,0.0005901049999987862,7,True,65.825,False,-43.59285842,-10.898214605,58.22673376909213,0.0,1,False,18.167,False
E4-candidate_0006,E4,complete,,Re3Ir2Os11,16,520.0,144,candidate_0006,priority,0.24404412141388646,411.0616768457807,-178.40967814,-11.15060488375,231.8996721314722,0.00045699125000098206,10,True,387.527,False,-178.41474103,-11.150921314375,231.8996721314722,0.0,1,False,122.284,False
E4-candidate_0009,E4,complete,,Ir2Os7,18,520.0,147,candidate_0009,screened,-0.6378596707391505,381.5342990134223,-187.27697188,-10.404276215555555,277.64001175213446,0.12624428888888892,109,True,6296.591,False,-187.27987841,-10.404437689444444,277.64001175213446,0.0,1,False,109.2,False
E4-candidate_0011,E4,complete,,Re5Os2,14,520.0,150,candidate_0011,screened,-0.6514096948257566,387.24363800617584,-166.9244964,-11.923178314285716,212.46483221712433,0.045576795714286585,54,True,1825.252,False,-166.92522639,-11.923230456428572,212.46483221712433,0.0,1,False,75.789,False
E4-candidate_0013,E4,complete,,ReOs5,6,520.0,330,candidate_0013,priority,-0.5196694573966908,404.20840259059185,-68.79909696,-11.46651616,86.6947105506794,0.0008051716666675665,13,True,110.551,False,-68.79887473,-11.466479121666666,86.6947105506794,0.0,1,False,27.729,False
E4-candidate_0015,E4,complete,,IrOs8,9,520.0,225,candidate_0015,priority,1.5830192982804112,401.2719932257208,-97.71982963,-10.857758847777779,129.67362009081322,0.0006595044444455627,4,True,75.034,False,-97.72525109,-10.858361232222222,129.67362009081322,0.0,1,False,29.688,False
E4-candidate_0017,E4,complete,,Os,4,520.0,539,candidate_0017,priority,1.8690700158446896,436.6152921537611,-44.91669762,-11.229174405,57.413347664355605,0.0009671225000005279,7,True,61.352,False,-44.92211095,-11.2305277375,57.413347664355605,0.0,1,False,18.195,False
E4-candidate_0023,E4,complete,,Re8B2Os5C3,18,520.0,144,candidate_0023,control,-0.14773976048900972,365.052323059289,-190.8274605,-10.601525583333334,224.3750820214851,0.06998060000000016,23,True,1851.556,False,-190.82649596,-10.601471997777777,224.3750820214851,0.0,1,False,404.387,False
E4-candidate_0025,E4,complete,,Ir2Os,18,520.0,126,candidate_0025,control,-0.5230669565525191,381.80651775087904,-173.29268635,-9.627371463888888,260.38337956789,0.0007206183333323679,8,True,264.953,False,-173.29919142,-9.627732856666666,260.38337956789,0.0,1,False,66.235,False
