task,experiment,status,status_reason,formula,n_atoms,encut_ev,n_kpoints,parent,kind,variant,relax_ions_fixed_cell.energy_ev,relax_ions_fixed_cell.energy_ev_per_atom,relax_ions_fixed_cell.volume_a3,relax_ions_fixed_cell.release_ev_per_atom,relax_ions_fixed_cell.n_ionic_steps,relax_ions_fixed_cell.converged,relax_ions_fixed_cell.elapsed_s,relax_ions_fixed_cell.close_ions_warning,relax_cell.energy_ev,relax_cell.energy_ev_per_atom,relax_cell.volume_a3,relax_cell.release_ev_per_atom,relax_cell.n_ionic_steps,relax_cell.converged,relax_cell.elapsed_s,relax_cell.close_ions_warning,static.energy_ev,static.energy_ev_per_atom,static.volume_a3,static.release_ev_per_atom,static.n_ionic_steps,static.converged,static.elapsed_s,static.close_ions_warning
E3-cod-1509287-S2,E3,unconverged,stage relax_ions_fixed_cell hit the ionic step limit,Cs2VAgS4,16,520.0,90,cod-1509287,experimental,S2,-73.4269321,-4.58918325625,493.9756921129168,1.3844979718750001,200,False,21032.628,False,-73.84899055,-4.615561909375,537.1431378821712,0.02637864187499961,94,True,6107.56,False,-73.86972439,-4.616857774375,537.1431378821712,0.0,1,False,175.365,False
E3-cod-1509287-S3,E3,complete,,Cs2VAgS4,16,520.0,90,cod-1509287,experimental,S3,-70.72985668,-4.4206160425,493.9756921129168,5.353340264374999,151,True,17718.979,True,-72.37642908,-4.5235268175,567.8110554369955,0.09745137312499974,182,True,13185.338,False,-72.43472514,-4.52717032125,567.8110554369955,0.0,1,False,192.676,False
E3-cod-1509287-S4,E3,unconverged,stage relax_cell hit the ionic step limit,Cs2VAgS4,16,520.0,40,cod-1509287,experimental,S4,-71.8498483,-4.49061551875,1147.3799337259366,1.0938859481250005,187,True,20472.438,False,-75.79452585,-4.737157865625,529.3738402376946,0.24654242624999956,145,False,,False,-75.78123814,-4.73632738375,526.5157420479254,0.0,1,False,85.216,False
E3-cod-1509287-S5,E3,unconverged,stage relax_ions_fixed_cell hit the ionic step limit,Cs2VAgS4,16,520.0,90,cod-1509287,experimental,S5,-75.63098651,-4.726936656875,493.9756921129168,0.6181092406250004,200,False,17561.495,False,-75.77502718,-4.73593919875,525.3497654237387,0.009002608124999867,83,True,5299.627,False,-75.78256522,-4.73641032625,525.3497654237387,0.0,1,False,163.62,False
E3-gnome-01905f78c6,E3,complete,,Hf4Si4RuRhAu2,12,520.0,160,01905f78c6,gnome,P0,-94.17622339,-7.848018615833333,199.35704161968644,3.164499999996906e-05,4,True,55.231,False,-94.18148805,-7.8484573375,197.95363552248813,9.412500000157328e-06,2,True,37.018,False,-94.1814369,-7.848453074999999,197.95363552248813,0.0,1,False,20.922,False
E3-gnome-028fb5bb24,E3,complete,,DyY3(CdGa2)2,10,520.0,112,028fb5bb24,gnome,P0,-42.78297036,-4.278297036,232.10855926840745,1.5594999999990478e-05,3,True,95.56,False,-42.78361266,-4.278361266,231.1017133992242,6.419800000045939e-05,3,True,118.992,False,-42.80079818,-4.280079818,231.1017133992242,0.0,1,False,45.288,False
E3-gnome-0466bbe21f,E3,complete,,LaPr(Al4Co)2,12,520.0,160,0466bbe21f,gnome,P0,-59.80280649,-4.9835672075,217.29702110137745,0.00016150166666702623,5,True,165.904,False,-59.80347521,-4.983622934166667,217.1371092205644,5.5771666666852106e-05,2,True,94.946,False,-59.79901191,-4.9832509924999995,217.1371092205644,0.0,1,False,47.818,False
E3-gnome-085d6ee4f8,E3,complete,,Tb2ThPt9,12,520.0,147,085d6ee4f8,gnome,P0,-83.88499982,-6.990416651666667,214.21644243491437,6.237833333363103e-05,3,True,127.551,False,-83.89816578,-6.991513815,216.48644508265366,0.0010972491666668323,11,True,287.357,False,-83.93552974,-6.994627478333334,216.48644508265366,0.0,1,False,35.54,False
E3-gnome-08ffff2afe,E3,complete,,Th2CoSi(PIr)3,10,520.0,147,08ffff2afe,gnome,P0,-81.09021419,-8.109021419,165.17959961160696,4.8169999999458923e-05,3,True,93.982,False,-81.09092206,-8.109092206,164.7493477233975,7.087799999965228e-05,3,True,106.769,False,-81.08385583,-8.108385583,164.7493477233975,0.0,1,False,30.909,False
E3-gnome-11c1970495,E3,complete,,ThCdPRuPt,10,520.0,147,11c1970495,gnome,P0,-67.30373204,-6.730373204,191.54045069275207,0.00014501299999949424,5,True,167.117,False,-67.30531011,-6.730531010999999,190.84456634512088,0.0001580909999987057,5,True,192.594,False,-67.31842541,-6.731842541000001,190.84456634512088,0.0,1,False,33.162,False
