cohort,rule_set,symprec,total_weight,pass_weight,explicit_violation_weight,no_verdict_weight,known_fraction,satisfaction,explicit_violation_rate,queue_retained
experimental,D7,0.01,99162.0,93382.0,5386.0,394.0,0.9960267037776568,0.9454681678276364,0.05431516104959561,0.9456848389504043
experimental,D7,0.1,99162.0,93455.0,5272.0,435.0,0.9956132389423368,0.9466002208109231,0.05316552711724249,0.9468344728827575
experimental,L4,0.01,99162.0,29952.0,19153.0,50057.0,0.4951997741070168,0.6099582527237553,0.19314858514350255,0.8068514148564975
experimental,L4,0.1,99162.0,29998.0,19047.0,50117.0,0.49459470361630464,0.6116423692527271,0.1920796272765777,0.8079203727234223
pu_negative,D7,0.01,364592.0,177851.0,186741.0,0.0,1.0,0.48780828981436786,0.5121917101856321,0.48780828981436786
pu_negative,D7,0.1,364592.0,182906.0,181686.0,0.0,1.0,0.5016731030850924,0.4983268969149076,0.5016731030850924
pu_negative,L4,0.01,364592.0,279.0,189159.0,175154.0,0.5195890200552947,0.0014727773730719286,0.5188237811032607,0.4811762188967394
pu_negative,L4,0.1,364592.0,282.0,184119.0,180191.0,0.5057735770395401,0.0015292758716059023,0.5050001097116777,0.4949998902883223
