cif_sha256,records,first_record_index,last_record_index,CLscore_A_min,CLscore_A_max,CLscore_B_min,CLscore_B_max,CLscore_jang_min,CLscore_jang_max,CLscore_A_range,CLscore_B_range,CLscore_jang_range
c9225303852d9736f2443aff6d6808d171cbb1c5c9ed99ac7afcbdb7b686e2ef,2,52379,194601,0.0,0.0,0.001644,0.001653,0.395523,0.395523,0.0,8.999999999999894e-06,0.0
c9a0ef39f5271ae935cf7a6053049c4aa3677530eebc5ea060673e25c927e64b,2,7220,60968,0.0,3e-06,0.000888,0.00089,0.124615,0.124615,3e-06,1.99999999999994e-06,0.0
ce8faf480258a2a182c1f29ef6123ce7ce6403f9f85f679b741fa52106154f2c,2,40016,180667,0.0,0.0,0.001362,0.00137,0.058976,0.058976,0.0,7.999999999999978e-06,0.0
cfcfa0ee28178bbb640c06f1f3aaa24975e2c011d9f75cf6936e7afd2cfb73bd,2,23233,212938,0.0,0.0,0.003636,0.003672,0.003006,0.003006,0.0,3.600000000000001e-05,0.0
d025c3021ed6db78015061b7bfdf30a8e7aeb6c851c278fb5677b6956f330542,2,14298,187183,4e-06,4e-06,0.001934,0.001941,0.302416,0.302416,0.0,7.000000000000062e-06,0.0
d0580db3eb5ae5673a721c22a9aba17c1a7614672e1ba1c8d6c922b4f6b61ed4,2,56326,182064,0.0,0.0,0.002221,0.002243,0.180568,0.180568,0.0,2.2000000000000318e-05,0.0
d126315415ef9eb424a426478ba9513ef7ac9761cd14e88617d503dab74379bd,2,2457,97587,0.0,0.0,0.001684,0.001684,0.051982,0.051982,0.0,0.0,0.0
d3419fed2fcd1590023fb34bbb2adc74b6af0d2bddb5db15d8a0ba306224eb4b,2,8116,169129,4e-06,4e-06,0.001633,0.001644,0.031376,0.031376,0.0,1.1000000000000159e-05,0.0
d75e7096f81abe6c8323a07ceb20bd2b4bc0fdb5788156102fedfb7fdd9dc69d,2,23122,98589,0.0,0.0,0.002455,0.002455,0.001149,0.001149,0.0,0.0,0.0
d7f056351f2e6040e9ff071de952288d0221bac3a32c0e71c695aa3bf2192fb1,2,14759,138328,0.0,0.0,0.002419,0.002446,0.017166,0.017166,0.0,2.699999999999968e-05,0.0
daa5427bf9d24e51ad515da622fc878cd1e6b31789c583301be97a099acb8565,2,30346,56825,0.0,0.0,0.000185,0.000192,1.1e-05,1.1e-05,0.0,7.0000000000000075e-06,0.0
db7352d24852b5ff21f2d9b290f19255f9a3cfbf00f0653d0dff30f1736d9e75,2,43169,61201,0.0,0.0,0.004288,0.004288,0.023564,0.023564,0.0,0.0,0.0
dc29f8c6d0bb974db5edbcc7ddd41de934dbefb08d448884a5ab2537d5fd0ea5,2,44380,227002,6e-06,6e-06,0.001487,0.001487,0.162515,0.162515,0.0,0.0,0.0
ddeb77c80d8c2fe9a151861023982f2a41ab97cf7fca0208cde62a1fcf151a1f,2,11273,144855,4e-06,4e-06,0.000819,0.000825,0.03749,0.03749,0.0,6.000000000000037e-06,0.0
ddf471b2cfa2b75d671f6e1427eb9ee9c71858949b8831f77ad7167129f95820,2,50888,170341,0.0,0.0,0.002611,0.00262,0.221261,0.221261,0.0,8.999999999999894e-06,0.0
e1c749ad7db3cfedf7da813d80e5fafa3eb495917cc099377c96a8a4f434d70c,2,3428,95493,0.0,0.0,0.002249,0.00225,0.013812,0.013812,0.0,9.99999999999699e-07,0.0
e7367caa388dcd3ed4fa6cbf142fdd0c062d896e9249ed51593f9de9e6fad27c,2,28354,120782,4e-06,4e-06,0.002903,0.002903,0.013456,0.013456,0.0,0.0,0.0
e84d0d679b10bb5adf6ad9f629aa29cd1576a827d13c52f492f63f77f6f97b57,2,50218,172033,0.0,0.0,0.002553,0.002558,0.395117,0.395118,0.0,4.999999999999796e-06,1.0000000000287557e-06
eb2f1d0b7bfd59123a9badef3caf2f7cc806e05fd0513901ebe867ebfbe1963f,2,31861,80229,0.0,0.0,6.6e-05,6.7e-05,0.007828,0.007828,0.0,9.999999999999972e-07,0.0
eb86c067b101d0325fe57fc52c7ed26825193a56a457a309490489224e0cea25,2,25343,193560,3e-06,3e-06,0.003421,0.003442,0.484777,0.484777,0.0,2.1000000000000185e-05,0.0
ec39192657eeab99f0ab5f902055affb8d62fd8297d2a344e2289cb46243c596,2,31569,199036,5e-06,5e-06,0.000637,0.000637,0.336662,0.336662,0.0,0.0,0.0
ec61deee4014f75e2377dfdcf5bf9f5b2bd578e42e90c1b73336446a54843ab3,2,21503,137561,0.0,0.0,0.004326,0.004355,0.130204,0.130204,0.0,2.900000000000038e-05,0.0
edf833cf6a4a5fa28d4a1585ce54a7ee47a414dbc8c718114cdfbabfd3cdcd9d,2,17680,229548,2e-06,2e-06,0.000215,0.000215,0.142568,0.142568,0.0,0.0,0.0
f1c70c1df61bfb4945fee961aab6d56909b831c135e0f966b68c413e1c16b54e,2,13370,144336,0.0,0.0,0.003361,0.003365,9.5e-05,9.5e-05,0.0,4.000000000000097e-06,0.0
f5670d85e1d83f4a4a88943a986354d90234d31cbacda2440dfbaade07b21548,2,20872,185355,1e-06,1e-06,0.001212,0.001224,0.46774,0.46774,0.0,1.2000000000000075e-05,0.0
f5788af6b773414768159568f9edc17d75fdbc3dcc8ee0dfa33e28f9d9596265,2,2456,185864,0.0,0.0,0.003123,0.003164,0.121359,0.121359,0.0,4.100000000000024e-05,0.0
f72d986879f7d979cb1f3e9369e881274b929eccc33a05b9b38b87dcac842aa2,2,35684,105945,0.0,0.0,2.8e-05,2.9e-05,0.13269,0.13269,0.0,1.0000000000000006e-06,0.0
f9f0309b4c2706e38e3bec06825ea1f3b42086610a5b289c95c6fee4f195babe,2,2797,226084,0.0,0.0,0.000328,0.000331,0.021427,0.021427,0.0,3.0000000000000187e-06,0.0
fb64b648622fcbcda66d878a988be34435ca236268ffb401d4b0ce0c58067844,2,52901,84028,0.0,0.0,0.004704,0.004726,0.01705,0.01705,0.0,2.2000000000000318e-05,0.0
fe137bcb88e14b0334c4bbb71935f0a101614113fd81eb7f153ee4b37ff3d9c2,2,42462,189205,1e-06,1e-06,0.00076,0.000763,0.472392,0.472392,0.0,2.9999999999999645e-06,0.0
fee3e41061e28fe53f210f5ff9f125d61abd06c1a136677bf067e5fe77362137,2,18978,68118,0.0,0.0,0.001271,0.001273,0.217915,0.217915,0.0,2.0000000000000486e-06,0.0
