cohort,rule_set,unit,n_shared_formulas,rows,total_weight,pass_weight,explicit_violation_weight,no_verdict_weight,known_fraction,satisfaction,explicit_violation_rate,queue_retained
experimental,L2,shared_formula_rows,69,92,92.0,36.0,3.0,53.0,0.42391304347826086,0.9230769230769231,0.03260869565217391,0.967391304347826
experimental,L2,equal_formula_weight,69,92,1.0,0.28985507246376807,0.043478260869565216,0.6666666666666667,0.33333333333333326,0.8695652173913044,0.043478260869565216,0.9565217391304348
experimental,L4,shared_formula_rows,69,92,92.0,12.0,9.0,71.0,0.22826086956521738,0.5714285714285714,0.09782608695652174,0.9021739130434783
experimental,L4,equal_formula_weight,69,92,1.0000000000000002,0.13043478260869568,0.07608695652173914,0.7934782608695654,0.20652173913043476,0.6315789473684211,0.07608695652173912,0.9239130434782609
pu_negative,L2,shared_formula_rows,69,110,110.0,28.0,0.0,82.0,0.2545454545454545,1.0,0.0,1.0
pu_negative,L2,equal_formula_weight,69,110,1.0,0.2898550724637681,0.0,0.7101449275362318,0.2898550724637681,1.0,0.0,1.0
pu_negative,L4,shared_formula_rows,69,110,110.0,3.0,54.0,53.0,0.5181818181818182,0.05263157894736842,0.4909090909090909,0.509090909090909
pu_negative,L4,equal_formula_weight,69,110,1.0,0.043478260869565216,0.5285829307568438,0.42793880837359105,0.572061191626409,0.07600281491907107,0.5285829307568438,0.4714170692431563
