cohort,l4_group,n,reject_n,reject_rate,median
experimental,L4_retained,817,78,0.09547123623011015,0.01827256393391874
experimental,L4_screened,204,63,0.3088235294117647,0.04484678803019726
pu_negative,L4_retained,574,358,0.6236933797909407,0.27994921875448586
pu_negative,L4_screened,450,379,0.8422222222222222,0.6444816440733117
