cohort,provenance,n,reject_n,reject_rate,median
experimental,icsd,1021,141,0.13809990205680706,0.019828823151041952
pu_negative,elementa,248,148,0.5967741935483871,0.2469074176534014
pu_negative,lemat,776,589,0.759020618556701,0.5423758139425008
