task,experiment,status,status_reason,formula,n_atoms,encut_ev,n_kpoints,entry,kind,merge_class,ordering_index,is_released_ordering,relax_cell.energy_ev,relax_cell.energy_ev_per_atom,relax_cell.volume_a3,relax_cell.release_ev_per_atom,relax_cell.n_ionic_steps,relax_cell.converged,relax_cell.elapsed_s,relax_cell.close_ions_warning,static.energy_ev,static.energy_ev_per_atom,static.volume_a3,static.release_ev_per_atom,static.n_ionic_steps,static.converged,static.elapsed_s,static.close_ions_warning
E2-cod-1511279-o02,E2,unconverged,stage relax_cell hit the ionic step limit,Tl3BO3,14,520.0,128,cod-1511279,experimental,G13,2,False,-71.91968273,-5.1371201950000005,332.2487207117698,6.823018707857143,200,False,3933.11,True,-72.05622798,-5.146873427142857,332.2487207117698,0.0,1,False,46.564,False
E2-cod-1511279-o03,E2,unconverged,stage relax_cell hit the ionic step limit,Tl3BO3,14,520.0,128,cod-1511279,experimental,G13,3,False,-64.53035572,-4.609311122857143,336.064563596573,6.307250185714286,200,False,3839.691,True,-64.68490713,-4.620350509285714,336.064563596573,0.0,1,False,38.83,False
E2-cod-1511279-o04,E2,unconverged,stage relax_cell hit the ionic step limit,Tl3BO3,14,520.0,128,cod-1511279,experimental,G13,4,False,-72.32870119,-5.166335799285714,317.13252839068,3.376912200714286,200,False,3450.467,True,-72.40889708,-5.172064077142857,317.13252839068,0.0,1,False,41.188,False
E2-cod-1511279-o05,E2,unconverged,stage relax_cell hit the ionic step limit,Tl3BO3,14,520.0,128,cod-1511279,experimental,G13,5,False,-68.6779843,-4.905570307142858,339.8713508221869,3.143049912857143,200,False,3520.062,True,-68.87376881,-4.919554915,339.8713508221869,0.0,1,False,45.867,False
E2-cod-1532896-o00,E2,complete,,LaYbS3,10,520.0,160,cod-1532896,experimental,RE,0,True,-55.41468993,-5.5414689930000005,249.59028714124585,0.054798364999999905,39,True,1712.76,False,-55.43591812,-5.543591812,249.59028714124585,0.0,1,False,86.69,False
E2-cod-1532896-o01,E2,complete,,LaYbS3,10,520.0,160,cod-1532896,experimental,RE,1,False,-56.01495554,-5.601495554,259.341476723371,0.2319432490000004,40,True,1480.385,False,-56.0212751,-5.60212751,259.341476723371,0.0,1,False,72.343,False
E2-cod-1532896-o02,E2,complete,,LaYbS3,10,520.0,160,cod-1532896,experimental,RE,2,False,-54.71933737,-5.471933737,260.7872682709048,0.19571656500000004,24,True,877.992,False,-54.72587367,-5.472587367,260.7872682709048,0.0,1,False,59.299,False
E2-cod-1532898-o00,E2,complete,,LaYbSe3,10,520.0,120,cod-1532898,experimental,RE,0,True,-50.7536851,-5.07536851,283.91451204776797,0.05354887299999973,41,True,1414.718,False,-50.75655571,-5.075655571,283.91451204776797,0.0,1,False,60.273,False
E2-cod-1532898-o01,E2,complete,,LaYbSe3,10,520.0,120,cod-1532898,experimental,RE,1,False,-50.96109727,-5.096109727,294.7085729293529,0.18677697399999998,41,True,1312.762,False,-50.96367162,-5.096367162,294.7085729293529,0.0,1,False,67.617,False
E2-cod-1532898-o02,E2,complete,,LaYbSe3,10,520.0,120,cod-1532898,experimental,RE,2,False,-50.03231196,-5.003231196,294.31905879158035,0.18970593200000038,32,True,1292.944,False,-50.03698251,-5.003698251,294.31905879158035,0.0,1,False,51.081,False
