task,experiment,status,status_reason,formula,n_atoms,encut_ev,n_kpoints,entry,kind,merge_class,ordering_index,is_released_ordering,relax_cell.energy_ev,relax_cell.energy_ev_per_atom,relax_cell.volume_a3,relax_cell.release_ev_per_atom,relax_cell.n_ionic_steps,relax_cell.converged,relax_cell.elapsed_s,relax_cell.close_ions_warning,static.energy_ev,static.energy_ev_per_atom,static.volume_a3,static.release_ev_per_atom,static.n_ionic_steps,static.converged,static.elapsed_s,static.close_ions_warning
E2-25c316ed15-o00,E2,complete,,La3TbNi2(AsSe)2,10,520.0,128,25c316ed15,gnome,RE,0,True,-61.16343708,-6.1163437080000005,229.50153834463632,7.28729999998734e-05,10,True,421.508,False,-61.17384243,-6.117384243,229.50153834463632,0.0,1,False,63.097,False
E2-25c316ed15-o01,E2,complete,,La3TbNi2(AsSe)2,10,520.0,128,25c316ed15,gnome,RE,1,False,-61.16288886,-6.116288886,229.58713959890304,0.038801331000000515,47,True,1917.892,False,-61.17308877,-6.117308877,229.58713959890304,0.0,1,False,56.519,False
E2-25c316ed15-o02,E2,complete,,La3TbNi2(AsSe)2,10,520.0,128,25c316ed15,gnome,RE,2,False,-61.16264081,-6.116264081,229.46313019984598,0.03963783499999991,22,True,1300.669,False,-61.17322893,-6.117322893,229.46313019984598,0.0,1,False,65.074,False
E2-25c316ed15-o03,E2,complete,,La3TbNi2(AsSe)2,10,520.0,128,25c316ed15,gnome,RE,3,False,-61.16270804,-6.116270804,229.6160380034704,0.038916583999999685,36,True,1514.414,False,-61.17396362,-6.117396362,229.6160380034704,0.0,1,False,65.219,False
E2-28ace91038-o00,E2,complete,,Dy3Er(Si4Tc3)2,18,520.0,125,28ace91038,gnome,RE,0,True,-136.69120751,-7.593955972777778,291.4795310685603,0.0016055672222216168,35,True,2033.011,False,-136.69037874,-7.59390993,291.4795310685603,0.0,1,False,125.268,False
E2-28ace91038-o01,E2,complete,,Dy3Er(Si4Tc3)2,18,520.0,125,28ace91038,gnome,RE,1,False,-136.66745103,-7.592636168333333,291.30038289502266,0.0005420733333336455,9,True,539.963,False,-136.66545392,-7.592525217777778,291.30038289502266,0.0,1,False,123.652,False
E2-28ace91038-o02,E2,complete,,Dy3Er(Si4Tc3)2,18,520.0,125,28ace91038,gnome,RE,2,False,-136.69083104,-7.593935057777778,291.406541709148,0.0019138355555554654,36,True,2177.249,False,-136.68995824,-7.593886568888889,291.406541709148,0.0,1,False,129.614,False
E2-28ace91038-o03,E2,complete,,Dy3Er(Si4Tc3)2,18,520.0,125,28ace91038,gnome,RE,3,False,-136.66721836,-7.5926232422222215,291.316846794367,0.0006765127777773235,7,True,476.617,False,-136.66524476,-7.592513597777778,291.316846794367,0.0,1,False,127.527,False
E2-2afa0c9849-o00,E2,complete,,CoB2MoW,5,520.0,880,2afa0c9849,gnome,G6,0,True,-46.75400244,-9.350800488,51.51665740182154,0.000712404000000788,4,True,128.909,False,-46.75357771,-9.350715542,51.51665740182154,0.0,1,False,54.679,False
E2-2afa0c9849-o01,E2,complete,,CoB2MoW,5,520.0,880,2afa0c9849,gnome,G6,1,False,-46.75401655,-9.35080331,51.51883447992972,0.0011206600000008393,5,True,154.342,False,-46.75358421,-9.350716842,51.51883447992972,0.0,1,False,54.572,False
